Gene1,Gene2
ADNP,TRIM6
ADNP,UBE2L6
ADNP,BOLL
ADNP,CLPB
ADNP,SIRT6
ADNP,MAPK6
ADNP,GDF15
ADNP,RPP38
ADNP,RFC2
ADNP,THAP1
ADNP,MRPS2
ADNP,1700007K13RIK
ADNP,SNX2
ADNP,BORCS5
ADNP,SSPN
ADNP,RNF125
ADNP,SGTA
ADNP,GLG1
ADNP,CDSN
ADNP,ARHGEF1
ADNP,RPL32
ADNP,RBM19
ADNP,BIRC3
ADNP,OCSTAMP
ADNP,PSMD7
ADNP,CATSPERG2
ADNP,GLDN
ADNP,PHC2
ADNP,NR2C1
ADNP,RPH3AL
ADNP,TTC9B
ADNP,MORC2A
ADNP,PPP1R36
ADNP,CACNB3
ADNP,CCDC17
ADNP,EDRF1
ADNP,LACC1
ADNP,CCDC122
ADNP,DAB1
ADNP,TDRKH
ADNP,ANAPC7
ADNP,RGCC
ADNP,RAB3A
ADNP,HMCN1
ADNP,NXPE3
ADNP,ZC3H11A
ADNP,POFUT2
ADNP,TMEM109
ADNP,GM10778
ADNP,ALDOART2
ADNP,UBXN1
ADNP,DDX24
ADNP,ABRAXAS2
ADNP,MFF
ADNP,PIH1D1
ADNP,COPZ2
ADNP,ALDH16A1
ADNP,RFC5
ADNP,TTC34
ADNP,RBM25
ADNP,METAP2
ADNP,NEK8
ADNP,4931406C07RIK
ADNP,PSMG3
ADNP,GPR84
ADNP,EIF2S3X
ADNP,ALDH1B1
ADNP,PCBD2
ADNP,POLR3E
ADNP,DUSP3
ADNP,DNAH8
ADNP,DNAJC12
ADNP,CDCA3
ADNP,MAD2L1
ADNP,ZFP764
ADNP,5730455P16RIK
ADNP,GNB3
ADNP,RAB8A
ADNP,GM15816
ADNP,PPP1R3E
ADNP,RPL37A
ADNP,MLH3
ADNP,RHBDF1
ADNP,GINS1
ADNP,MED1
ADNP,RHOU
ADNP,CDK7
ADNP,MAN2B2
ADNP,RBM14
ADNP,GM21992
ADNP,E230025N22RIK
ADNP,PSMB5
ADNP,MICU2
ADNP,ITPA
ADNP,TMEM200B
ADNP,MYO5B
ADNP,TROAP
ADNP,HIST4H4
ADNP,DDX39
ADNP,PLXNC1
ADNP,WRB
ADNP,PPP6R2
ADNP,OAS1A
ADNP,SYCP2
ADNP,SUCLG1
ADNP,MAP3K15
ADNP,ATP9A
ADNP,TASP1
ADNP,RABGEF1
ADNP,YPEL1
ADNP,SPAG4
ADNP,MRPL20
ADNP,VPS39
ADNP,ZFAT
ADNP,PSMG2
ADNP,SLC44A2
ADNP,ARL4D
ADNP,UTF1
ADNP,PRR23A2
ADNP,AKT1
ADNP,CHD9
ADNP,CDK5RAP1
ADNP,ABCD4
ADNP,CD300LG
ADNP,CBX2
ADNP,EFCAB6
ADNP,CALM3
ADNP,SNRNP48
ADNP,SCMH1
ADNP,MRPS18A
ADNP,POLR2E
ADNP,PKIB
ADNP,ASF1B
ADNP,NUP205
ADNP,ASCL4
ADNP,PROSER3
ADNP,HSPB6
ADNP,IRF9
ADNP,IFITM1
ADNP,RBM34
ADNP,CALCOCO2
ADNP,WDFY2
ADNP,KMT2A
ADNP,ZFP534
ADNP,NNMT
ADNP,IQGAP3
ADNP,PPP4C
ADNP,ATP5O
ADNP,COX5B
ADNP,PRMT6
ADNP,CDH3
ADNP,SAP25
ADNP,MAPKBP1
ADNP,FABP12
ADNP,DDB2
ADNP,SLCO3A1
ADNP,HAUS4
ADNP,FAM240A
ADNP,A630095N17RIK
ADNP,HDGF
ADNP,LTBP2
ADNP,CCDC14
ADNP,MAPK8IP3
ADNP,ERAP1
ADNP,LAPTM5
ADNP,RTF2
ADNP,DNASE2A
ADNP,ATP5G1
ADNP,C1RL
ADNP,PACSIN2
ADNP,ACAP2
ADNP,MTRF1
ADNP,CELF4
ADNP,ARHGEF16
ADNP,SRM
ADNP,MSL3L2
ADNP,CEBPZOS
ADNP,ARNT
ADNP,GM5134
ADNP,ALMS1
ADNP,TDRD12
ADNP,PRKAG2
ADNP,POLE4
ADNP,MUS81
ADNP,MTERF1A
ADNP,NR1H2
ADNP,C330018D20RIK
ADNP,DEFB43
ADNP,ERI1
ADNP,CRHR1
ADNP,ELOVL2
ADNP,ATP5J2
ADNP,ANKLE2
ADNP,DPYSL2
ADNP,ZBTB34
ADNP,VPS36
ADNP,4930548H24RIK
ADNP,OAS1G
ADNP,URGCP
ADNP,CEP76
ADNP,XPO6
ADNP,IL20RA
ADNP,H2-M5
ADNP,RPS2
ADNP,RNF151
ADNP,MYH14
ADNP,CYTH3
ADNP,SCAND1
ADNP,CNBD2
ADNP,PRR23A3
ADNP,DISP3
ADNP,BMP8B
ADNP,FBXO27
ADNP,MAN2A2
ADNP,ESCO1
ADNP,THOC7
ADNP,RAB31
ADNP,EPPK1
ADNP,PLA2G4E
ADNP,NUCKS1
ADNP,MTERF1B
ADNP,APBA1
ADNP,ZPBP
ADNP,VSTM2L
ADNP,PARK7
ADNP,DIS3L
ADNP,TMEM191C
ADNP,SMARCA5
ADNP,C1QL4
ADNP,FH1
ADNP,ZFP952
ADNP,TPD52L2
ADNP,KIF26A
ADNP,TECR
ADNP,9430015G10RIK
ADNP,DPAGT1
ADNP,2610524H06RIK
ADNP,KRT85
ADNP,DUX
ADNP,DMC1
ADNP,CPT1C
ADNP,ADAM19
ADNP,ZBTB43
ADNP,TYSND1
ADNP,TMED6
ADNP,FAM3C
ADNP,ABHD17A
ADNP,MRPS30
ADNP,PSAP
ADNP,DYNLT1B
ADNP,ZC3H14
ADNP,SMG9
ADNP,WDR74
ADNP,RPF1
ADNP,MAST3
ADNP,PKD1L3
ADNP,MED4
ADNP,ABL2
ADNP,SH3BP5
ADNP,CCZ1
ADNP,3830406C13RIK
ADNP,ABCA1
ADNP,MAPK9
ADNP,FAM222B
ADNP,CCDC110
ADNP,TRIM80
ADNP,SLC35E3
ADNP,PLXDC1
ADNP,NMNAT3
ADNP,INTU
ADNP,CTSE
ADNP,4930447C04RIK
ADNP,ULK2
ADNP,PARP12
ADNP,IL17C
ADNP,FBXW4
ADNP,ABCA17
ADNP,PRSS48
ADNP,KHDC4
ADNP,SH3GLB1
ADNP,SEPT7
ADNP,INO80E
ADNP,TMEM40
ADNP,SPOUT1
ADNP,FKBP8
ADNP,FKBP2
ADNP,SLC30A1
ADNP,BSG
ADNP,PAFAH2
ADNP,CDK1
ADNP,NPTX2
ADNP,ZFP583
ADNP,NDC1
ADNP,ABHD11
ADNP,CCDC71
ADNP,INO80B
ADNP,DNMBP
ADNP,DHRS13
ADNP,CLDN4
ADNP,ZFP839
ADNP,UBR5
ADNP,PNPLA6
ADNP,KDM3B
ADNP,DCAF10
ADNP,DDX27
ADNP,CNOT2
ADNP,MDFIC
ADNP,NCMAP
ADNP,ABL1
ADNP,ZFP990
ADNP,TRIM63
ADNP,MYRF
ADNP,GRID1
ADNP,MEI4
ADNP,FAM205C
ADNP,KCTD6
ADNP,EMP2
ADNP,ZFP319
ADNP,XYLB
ADNP,USB1
ADNP,RPA2
ADNP,PLEKHA7
ADNP,FKBP5
ADNP,ASB6
ADNP,FAM171A2
ADNP,RRBP1
ADNP,PDE8A
ADNP,SCIN
ADNP,HMGXB4
ADNP,4933411K16RIK
ADNP,NTPCR
ADNP,NAA16
ADNP,TOMM20
ADNP,TJP3
ADNP,PFKFB3
ADNP,SENP7
ADNP,MAP3K6
ADNP,EPB41L5
ADNP,CEBPB
ADNP,GM973
ADNP,CPSF1
ADNP,STX3
ADNP,TLCD2
ADNP,PSMA3
ADNP,PGAP2
ADNP,H3F3B
ADNP,COPZ1
ADNP,TOR1A
ADNP,IPO7
ADNP,HIPK1
ADNP,DYNLT1F
ADNP,DYNLT1C
ADNP,UBA1
ADNP,PXDC1
ADNP,MRPL16
ADNP,FAM19A5
ADNP,CCBE1
ADNP,B3GLCT
ADNP,ACAD9
ADNP,MPPE1
ADNP,INKA1
ADNP,GEMIN7
ADNP,TIAM1
ADNP,FAN1
ADNP,SCT
ADNP,RMDN2
ADNP,MKRN1
ADNP,NETO2
ADNP,FNTA
ADNP,CHST12
ADNP,HEXA
ADNP,ZFP984
ADNP,TEPSIN
ADNP,RIOX2
ADNP,PYROXD1
ADNP,NDUFAF8
ADNP,LZTR1
ADNP,DTWD2
ADNP,CARF
ADNP,ATP2C1
ADNP,ZFP810
ADNP,SRSF1
ADNP,EXOSC4
ADNP,DAPK2
ADNP,BCKDK
ADNP,TINF2
ADNP,SH2D3C
ADNP,PXYLP1
ADNP,BC051019
ADNP,ADCY7
ADNP,VAMP5
ADNP,TNP2
ADNP,SMC6
ADNP,GEN1
ADNP,ATXN1L
ADNP,RAB10
ADNP,GGCX
ADNP,CLPP
ADNP,SMARCD1
ADNP,PRICKLE1
ADNP,NXPH3
ADNP,NEFH
ADNP,MTRR
ADNP,MIEF2
ADNP,FASTKD3
ADNP,DBNL
ADNP,AP1B1
ADNP,1810037I17RIK
ADNP,SRARP
ADNP,CPLANE1
ADNP,CHADL
ADNP,ATP8B3
ADNP,TIPARP
ADNP,SF3A3
ADNP,PRSS38
ADNP,CAMTA2
ADNP,6820408C15RIK
ADNP,PROSER1
ADNP,NHLRC3
ADNP,SRP19
ADNP,MXI1
ADNP,KRT222
ADNP,JAG2
ADNP,CTH
ADNP,SLC35G1
ADNP,SHMT1
ADNP,PHF7
ADNP,TMEM59L
ADNP,SLC25A19
ADNP,DCP1A
ADNP,SMC3
ADNP,D1PAS1
ADNP,ZGLP1
ADNP,SNX3
ADNP,CBX4
ADNP,PFDN5
ADNP,GIPC3
ADNP,ZFP217
ADNP,TMEM130
ADNP,SLC25A20
ADNP,FBXO34
ADNP,APOC2
ADNP,SLC25A15
ADNP,RHOF
ADNP,CCDC71L
ADNP,ATL3
ADNP,GLMP
ADNP,CTCFL
ADNP,RASAL1
ADNP,PYCR1
ADNP,PDE4A
ADNP,MXRA7
ADNP,LTK
ADNP,BBC3
ADNP,RPS6KA1
ADNP,MFSD13A
ADNP,UROS
ADNP,C1QA
ADNP,SUPT5
ADNP,GOT1L1
ADNP,GM5662
ADNP,SFMBT1
ADNP,ATF7IP
ADNP,MRPS16
ADNP,TMEM151B
ADNP,PRORSD1
ADNP,MAST1
ADNP,CPEB1
ADNP,MFAP1B
ADNP,KBTBD13
ADNP,PTPN1
ADNP,PPP1R1A
ADNP,ENTPD4B
ADNP,ENTPD4
ADNP,CASP8
ADNP,UPF3A
ADNP,OSBPL1A
ADNP,GAS2L1
ADNP,DMAP1
ADNP,CDK5RAP3
ADNP,MEIOC
ADNP,DESI2
ADNP,DAP
ADNP,STX11
ADNP,LETMD1
ADNP,DMGDH
ADNP,BHMT2
ADNP,POLR3GL
ADNP,DHRSX
ADNP,PXN
ADNP,TMEM30C
ADNP,PTDSS2
ADNP,PIH1D2
ADNP,NKAPD1
ADNP,FDXACB1
ADNP,1110032A03RIK
ADNP,YIF1B
ADNP,RPL14
ADNP,MORC1
ADNP,BRK1
ADNP,GTF2I
ADNP,COX18
AEBP2,PALB2
AEBP2,DCTN5
AEBP2,VAMP4
AEBP2,RPL22
AEBP2,EXOC2
AEBP2,SNRPB2
AEBP2,POMT1
AEBP2,VPS13D
AEBP2,TMBIM4
AEBP2,COX19
AEBP2,PSMD3
AEBP2,METTL25
AEBP2,CCDC59
AEBP2,GNE
AEBP2,SUGP2
AEBP2,ARMC6
AEBP2,PTCD1
AEBP2,CPSF4
AEBP2,SNX18
AEBP2,PSMA1
AEBP2,PDCD5
AEBP2,TXNL4A
AEBP2,GINS3
AEBP2,UBR4
AEBP2,RBM48
AEBP2,PEX1
AEBP2,TEX2
AEBP2,TMEM167B
AEBP2,AMBRA1
AEBP2,SNRPA1
AEBP2,MLST8
AEBP2,TAOK3
AEBP2,BRD3OS
AEBP2,INO80
AEBP2,ERCC2
AEBP2,RBSN
AEBP2,DCTN6
AEBP2,TAF3
AEBP2,RAB35
AEBP2,PET117
AEBP2,KAT14
AEBP2,HEATR5A
AEBP2,XPO5
AEBP2,POLH
AEBP2,KDM8
AEBP2,SPRTN
AEBP2,EXOC8
AEBP2,NUP50
AEBP2,CSTF1
AEBP2,AURKA
AEBP2,HDGF
AEBP2,RAB3GAP2
AEBP2,EIF2B3
AEBP2,RAF1
AEBP2,VPS28
AEBP2,SMARCA5
AEBP2,LRP12
AEBP2,UPF1
AEBP2,DPH1
AEBP2,U2SURP
AEBP2,TCEA1
AEBP2,MRPS15
AEBP2,OGFOD3
AEBP2,HEXDC
AEBP2,CCT8
AEBP2,CRTC1
AEBP2,MMADHC
AEBP2,KRAS
AEBP2,VPS72
AEBP2,HMGXB4
AEBP2,ZNHIT3
AEBP2,HP1BP3
AEBP2,SDF4
AEBP2,B3GALT6
AEBP2,RFX1
AEBP2,PSMA2
AEBP2,MRPL32
AEBP2,FAN1
AEBP2,CLCN4
AEBP2,SRRM1
AEBP2,REV3L
AEBP2,ZBTB41
AEBP2,ZC3H14
AEBP2,RASAL2
AEBP2,WRB
AEBP2,DCP1B
AEBP2,RAD54L
AEBP2,COG6
AEBP2,C2CD5
AEBP2,ALKBH5
AEBP2,INTS13
AEBP2,FGFR1OP2
AEBP2,CDC34
AEBP2,EHMT1
AEBP2,RWDD1
AEBP2,MSH4
AEBP2,HERC4
AEBP2,LSM5
AEBP2,SUMF2
AEBP2,SDHA
AEBP2,CCDC127
AEBP2,PRKACA
AEBP2,DYNC1LI1
AEBP2,YEATS4
AEBP2,GMCL1
AEBP2,SPG7
AEBP2,MRPS23
AEBP2,ROCK1
AEBP2,SPPL2B
AEBP2,LSM7
AEBP2,EPOP
AEBP2,PEX14
AEBP2,PREB
AEBP2,SAE1
AEBP2,ACTN4
AEBP2,DENR
AEBP2,NADK
AEBP2,TTC37
AEBP2,ARSK
AEBP2,RSRC1
AEBP2,MTRR
AEBP2,FASTKD3
AEBP2,GM10406
AEBP2,ARRDC4
AEBP2,RRS1
AEBP2,NDUFA5
AEBP2,ASB15
AEBP2,TEPSIN
AEBP2,NDUFAF8
AEBP2,TAF5L
AEBP2,TMEM116
AEBP2,ERP29
AEBP2,MRS2
AEBP2,METTL22
AEBP2,CCSER2
AEBP2,SP2
AEBP2,PEX16
AEBP2,YARS
AEBP2,S100PBP
AEBP2,CNOT1
AEBP2,AP3M2
AEBP2,PUS10
AEBP2,PEX13
AEBP2,SMARCA4
AEBP2,SAFB
AEBP2,SAFB2
AEBP2,TTBK2
AEBP2,SPECC1L
AEBP2,TMED4
AEBP2,2610042L04RIK
AEBP2,FYCO1
AEBP2,PTK2
AEBP2,NDRG3
AEBP2,CCDC171
AEBP2,SFI1
AEBP2,NACC1
AEBP2,MIS12
AEBP2,DERL2
AEBP2,TSGA10
AEBP2,TBC1D14
AEBP2,STX12
AEBP2,DUX
AEBP2,HIPK2
AEBP2,2310061I04RIK
AEBP2,TMEM94
AEBP2,TMEM134
AEBP2,EFNB2
AEBP2,AIP
AEBP2,BBS2
AEBP2,UBE2C
AEBP2,MORC2A
AEBP2,MMAA
AEBP2,CHERP
AEBP2,B230219D22RIK
AEBP2,MRPL45
AEBP2,CLCC1
AEBP2,ATP6V0D1
AEBP2,MPP7
AEBP2,MTCH2
AEBP2,HSP90AA1
AEBP2,PDS5B
AEBP2,ZFP638
AEBP2,RPL9
AEBP2,LIAS
AEBP2,MYCBP
AEBP2,USP10
AEBP2,RAB33B
AEBP2,TM9SF2
AEBP2,RANBP3
AEBP2,SHARPIN
AEBP2,MAF1
AEBP2,ZBTB21
AEBP2,BANP
AEBP2,TMCO3
AEBP2,RECQL
AEBP2,GOLT1B
AEBP2,DCUN1D2
AEBP2,PGD
AEBP2,ANP32A
AEBP2,SRSF1
AEBP2,MBD3
AEBP2,LAMP1
AEBP2,VDAC3
AEBP2,AKAP1
AEBP2,FAM222B
AEBP2,KLHDC10
AEBP2,CISD1
AEBP2,DPF2
AEBP2,PARK7
AEBP2,RAPGEF6
AEBP2,KPNA1
AEBP2,ATP5B
AEBP2,PHF12
AEBP2,TUBD1
AEBP2,SNAP23
AEBP2,RPS6KB1
AEBP2,CC2D1A
AEBP2,4930432K21RIK
AEBP2,BTBD9
AEBP2,MBOAT2
AEBP2,HNRNPC
AEBP2,MCPH1
AEBP2,ALAS1
AEBP2,TRAM1L1
AEBP2,MAN1B1
AEBP2,TMEM170B
AEBP2,MINK1
AEBP2,TOM1
AEBP2,CEP295
AEBP2,GM13276
AEBP2,PGAP1
AEBP2,CCDC93
AEBP2,PTGER3
AEBP2,PARP6
AEBP2,TNRC6B
AEBP2,UNG
AEBP2,GM3500
AEBP2,TRANK1
AEBP2,THAP12
AEBP2,GM3448
AEBP2,GM3417
AEBP2,9030025P20RIK
AEBP2,RAD23B
AEBP2,SELENOT
AEBP2,ZFP12
AEBP2,GET4
AEBP2,ARNTL
AEBP2,NFAT5
AEBP2,NLK
AEBP2,GPR88
AEBP2,QRICH1
AEBP2,FKBP8
AEBP2,SRM
AEBP2,BHLHE23
AEBP2,BCAS2
AEBP2,GM3264
AEBP2,BRAP
AEBP2,ACAD10
AEBP2,ATXN7L3B
AEBP2,EXOG
AEBP2,TMEM106C
AEBP2,GM8909
AEBP2,GFOD2
AEBP2,GTF3A
AEBP2,UBE3C
AEBP2,CAR7
AEBP2,LENG8
AEBP2,ACAA1A
AEBP2,PRDM4
AEBP2,TMEM106B
AEBP2,POP7
AEBP2,MYPOP
AEBP2,NKX2-4
AEBP2,SDCCAG8
AEBP2,PPP2R5A
AEBP2,HSF1
AEBP2,BOP1
AEBP2,ODC1
AEBP2,FIGNL1
AEBP2,ZAR1
AEBP2,KCNK13
AEBP2,WDR12
AEBP2,PUF60
AEBP2,CARF
AEBP2,NIPSNAP2
AEBP2,KCTD13
AEBP2,BEAN1
AEBP2,SAP18B
AEBP2,SAP18
AEBP2,DAZAP1
AEBP2,SLC39A10
AEBP2,MAP2K7
AEBP2,CYP1B1
AEBP2,LSS
AEBP2,3110040N11RIK
AEBP2,CSNK1A1
AEBP2,EXD1
AEBP2,CHP1
AEBP2,RASEF
AEBP2,PRELID3B
AEBP2,CDC7
AEBP2,MAP3K21
AEBP2,IRF2
AEBP2,ZFP664
AEBP2,FOXE3
AEBP2,CCDC92
AEBP2,GPHN
AEBP2,TRIM23
AEBP2,TRAPPC13
AEBP2,SHLD3
AEBP2,RRBP1
AEBP2,NPR1
AEBP2,SOWAHA
AEBP2,CGAS
AEBP2,STAG3
AEBP2,POLR2B
AEBP2,NOA1
AEBP2,GPC2
AEBP2,PITPNB
AEBP2,IPMK
AEBP2,GTF3C1
AEBP2,D430042O09RIK
AEBP2,NAA50
AEBP2,ATP6V1A
AEBP2,VAPB
AEBP2,NUCB2
AEBP2,LOC100861615
AEBP2,PSMB2
AEBP2,USO1
AEBP2,G3BP2
AEBP2,DDHD2
AEBP2,AKAP11
AEBP2,SHISA3
AEBP2,CPNE7
AEBP2,KPNB1
AEBP2,G3BP1
AEBP2,PCBP2
AEBP2,ADRB1
AEBP2,UQCRC1
AEBP2,TRAF2
AEBP2,LSM14A
AEBP2,FDFT1
AEBP2,EXOSC8
AEBP2,ALG5
AEBP2,N6AMT1
AEBP2,MBD1
AEBP2,KIFAP3
AEBP2,SKA2
AEBP2,PRR11
AEBP2,HTRA1
AEBP2,ARF3
AEBP2,SMARCC1
AEBP2,OSBP
AEBP2,TLK2
AEBP2,FBXO42
AEBP2,SESN1
AEBP2,CEP57L1
AEBP2,ALG8
AEBP2,DLGAP2
AEBP2,TMCO1
AEBP2,SCAMP5
AEBP2,DYNLL1
AEBP2,KMT2A
AEBP2,RTN3
AEBP2,RNF8
AEBP2,PPP1CB
AEBP2,COP1
AEBP2,TPK1
AEBP2,TMEM163
AEBP2,CAMSAP2
AEBP2,TARBP1
AEBP2,MTMR7
AEBP2,HOXD1
AEBP2,SHPRH
AEBP2,CFAP97
AEBP2,FKBP1A
AEBP2,UBE2CBP
AEBP2,TDRD5
AEBP2,DPY30
AEBP2,1110032F04RIK
AEBP2,ELAVL1
AEBP2,TRP73
AEBP2,MSRA
AEBP2,GPR176
AEBP2,TMPO
AEBP2,NWD2
AEBP2,MFSD8
AEBP2,GRM6
AEBP2,FAM49B
AEBP2,CNOT8
AEBP2,2810459M11RIK
AEBP2,ICK
AEBP2,GM3435
AEBP2,FBXO9
AEBP2,AU041133
AEBP2,ZC3H8
AEBP2,ZC3H18
AEBP2,ZDHHC15
AEBP2,TMEM170
AEBP2,ACTR3
AEBP2,PANK2
AEBP2,CNOT3
AEBP2,HSPA2
AEBP2,HEATR5B
AEBP2,GPATCH11
AEBP2,IBTK
AEBP2,TNXB
AEBP2,ZFP961
AEBP2,DTD2
AEBP2,TMX3
AEBP2,HOXD13
AEBP2,DDX59
AEBP2,CTPS
AEBP2,GBE1
AEBP2,AMER2
AEBP2,ZDHHC16
AEBP2,EXOSC1
AEBP2,CLK4
AEBP2,BC049762
AEBP2,SNX4
AEBP2,OTULIN
AEBP2,PRRX1
AEBP2,FGF8
AEBP2,TUBG1
AEBP2,RETREG3
AEBP2,DISC1
AEBP2,SGPP2
AEBP2,RPL5
AEBP2,NEFM
AEBP2,CDH8
AEBP2,CC2D1B
AEBP2,CALN1
AEBP2,IKZF3
AEBP2,FBXL3
AEBP2,COCH
AEBP2,KL
AEBP2,H2-Q9
AEBP2,H2-Q7
AEBP2,SLC39A3
AEBP2,CDK5R2
AEBP2,TOMM20
AEBP2,SMYD3
AEBP2,DYRK3
AEBP2,HSPA1B
AEBP2,GJB2
AEBP2,FRZB
AEBP2,TRHDE
AEBP2,STYXL1
AEBP2,NDUFA8
AEBP2,MORN5
AEBP2,MDH2
AEBP2,MYRIP
AEBP2,DHRS13
AEBP2,WIPI2
AEBP2,SRP19
AEBP2,RAB20
AEBP2,BMP6
AEBP2,TDRD6
AEBP2,HS3ST2
AEBP2,TOX2
AEBP2,PPP1R3D
AEBP2,FAM217B
AEBP2,ADRA1D
AEBP2,CCDC12
AEBP2,NAE1
AEBP2,HIST2H2AA2
AEBP2,HIST2H2AA1
AEBP2,GM13290
AEBP2,GM13289
AEBP2,GM13285
AEBP2,HSPA12A
AEBP2,GABBR2
AEBP2,FAM43B
AEBP2,ENO4
AEBP2,SLC7A2
AEBP2,SGCZ
AEBP2,FAM98A
AEBP2,KCNG3
AEBP2,EIF4A3
AEBP2,CHRM3
AEBP2,ZKSCAN2
AEBP2,SETD1A
AEBP2,PITHD1
AEBP2,BAG6
AEBP2,NT5C2
AEBP2,H2-K1
AEBP2,DCHS1
AEBP2,NDUFA6
AEBP2,PLXND1
AEBP2,PAIP2B
AEBP2,KBTBD11
AEBP2,RBM46
AEBP2,ITPKA
AEBP2,AP1G1
AEBP2,WWOX
AEBP2,SGF29
AEBP2,NR5A1
AEBP2,AP1M1
AEBP2,SMG9
AEBP2,RASSF10
AEBP2,NPTX1
AEBP2,CDK12
AEBP2,POU4F3
AEBP2,PTF1A
AEBP2,NR2F1
AEBP2,MACROD2
AEBP2,MGA
AEBP2,DDX39
AEBP2,ZFP959
AEBP2,RNF150
AEBP2,CDC5L
AEBP2,RBM39
AEBP2,VPS36
AEBP2,UGGT2
AEBP2,SOWAHB
AEBP2,RASSF5
AEBP2,MARCH8
AEBP2,LIG4
AEBP2,LACTB
AEBP2,GSG1L
AEBP2,CEP85
AEBP2,CCDC155
AEBP2,SLC35F3
AEBP2,RAD54B
AEBP2,INTS3
AEBP2,BTBD10
AEBP2,DGCR8
AEBP2,CYTH1
AEBP2,ATAD3A
AEBP2,ANAPC10
AEBP2,ABCE1
AEBP2,CCNJ
AEBP2,ZFP119B
AEBP2,PGRMC2
AEBP2,NEK4
AEBP2,EMILIN3
AEBP2,SGO1
AEBP2,KCNK12
AEBP2,HIPK1
AEBP2,FAM227B
AEBP2,DTWD1
AEBP2,TOMM7
AEBP2,RPL26
AEBP2,ERCC6L2
AEBP2,ARID4A
AEBP2,SMPD3
AEBP2,NRG1
AEBP2,GM3636
AEBP2,CRYBG1
AEBP2,ATP5E
AEBP2,FAM174B
AEBP2,DCLRE1B
AEBP2,AP4B1
AEBP2,ZFYVE16
AEBP2,ZFP866
AEBP2,RSRP1
AEBP2,ONECUT1
AEBP2,TFG
AEBP2,CSNK1D
AEBP2,RPL17
AEBP2,FOXL1
AEBP2,HS3ST3A1
AEBP2,GATAD2A
AEBP2,TIA1
AEBP2,PRSS12
AEBP2,PLCB1
AEBP2,FOXC2
AEBP2,TENT4A
AEBP2,RIPK4
AEBP2,PLA2G15
AEBP2,GM13889
AEBP2,DDX4
AEBP2,ZNRF4
AEBP2,RABEP1
AEBP2,FLT1
AEBP2,HFM1
AEBP2,TCF25
AEBP2,PROK2
AEBP2,HSPA1A
AEBP2,EIF5
AEBP2,CLPX
AEBP2,SLC39A8
AEBP2,LSM1
AEBP2,BAG4
AEBP2,HERC2
AEBP2,FGF12
AEBP2,TTC14
AEBP2,MICU2
AEBP2,GPR25
AEBP2,ANKRD63
AEBP2,GATA5
AEBP2,BCAS3
AEBP2,NPR3
AEBP2,DDX55
AEBP2,CDK2AP2
AEBP2,RAB4A
AEBP2,MBTPS1
AEBP2,KCND3
AEBP2,DCAF8
AEBP2,GHSR
AEBP2,2310033P09RIK
AEBP2,NEUROD2
AEBP2,HIST2H3C2
AEBP2,HIST2H3C1
AEBP2,GALNT3
AEBP2,FUT8
AEBP2,ZFP433
AEBP2,UHMK1
AEBP2,TRIM44
AEBP2,SDCBP
AEBP2,RYR3
AEBP2,PAFAH1B1
AEBP2,DSP
AEBP2,NANP
AEBP2,DHX37
AEBP2,KHDRBS1
AEBP2,GRB2
AEBP2,ZFP639
