Gene1,Gene2
ATF2,CBX5
ATF2,TRNAU1AP
ATF2,EIF1
ATF2,UBAP1
ATF2,CACYBP
ATF2,HNRNPA1
ATF2,POP4
ATF2,KDSR
ATF2,BANP
ATF2,RPP14
ATF2,HTD2
ATF2,ACTR1B
ATF2,TMED4
ATF2,SRRM1
ATF2,FAM53C
ATF2,TNFAIP1
ATF2,IFT20
ATF2,PDAP1
ATF2,BUD31
ATF2,WWOX
ATF2,VDAC3
ATF2,HASPIN
ATF2,CDC5L
ATF2,ZNF335
ATF2,ZSCAN30
ATF2,ZBTB4
ATF2,POLR2A
ATF2,CXorf38
ATF2,PPP2CA
ATF2,TTI2
ATF2,TBC1D32
ATF2,PRDX1
ATF2,INTS10
ATF2,GZF1
ATF2,RPS29
ATF2,KNL1
ATF2,SPPL2B
ATF2,LSM7
ATF2,UPF2
ATF2,C12orf66
ATF2,MTHFSD
ATF2,NANP
ATF2,TXNL1
ATF2,ZNF576
ATF2,IRGQ
ATF2,FAM200B
ATF2,TRAPPC1
ATF2,CNTROB
ATF2,CDC7
ATF2,PAK1
ATF2,MYL5
ATF2,SMIM14
ATF2,PHF14
ATF2,DNAJC27
ATF2,RBM14-RBM4
ATF2,RBM14
ATF2,PPP2R5B
ATF2,SRSF1
ATF2,TRAPPC9
ATF2,SOD2
ATF2,MBD1
ATF2,HIST1H4B
ATF2,DHDDS
ATF2,SEC22C
ATF2,CAMK2D
ATF2,PDRG1
ATF2,PLS1
ATF2,LOC100289561
ATF2,MRPS18C
ATF2,HELQ
ATF2,PTEN
ATF2,KLLN
ATF2,ATP5MC2
ATF2,TIMM13
ATF2,PAIP2
ATF2,SREBF2
ATF2,CAPS2
ATF2,USP21
ATF2,RNF139
ATF2,SNRNP70
ATF2,MVK
ATF2,MMAB
ATF2,TMEM9
ATF2,HBS1L
ATF2,HES4
ATF2,HIST1H2BC
ATF2,HIST1H2AC
ATF2,ZNF593
ATF2,U2AF2
ATF2,FZR1
ATF2,RPL3
ATF2,ASNSD1
ATF2,ASDURF
ATF2,ZBTB41
ATF2,CRB1
ATF2,SEC14L1
ATF2,ASCC1
ATF2,ANAPC16
ATF2,PRMT5
ATF2,CHURC1-FNTB
ATF2,CHURC1
ATF2,USP54
ATF2,PBLD
ATF2,HNRNPH3
ATF2,MRTFA
ATF2,IPO11
ATF2,GPSM3
ATF2,RGPD2
ATF2,DENR
ATF2,HIST1H4I
ATF2,RAD23A
ATF2,ARIH1
ATF2,SYT7
ATF2,DNAJB2
ATF2,INTS13
ATF2,FGFR1OP2
ATF2,TSSC4
ATF2,CHMP2A
ATF2,C8orf37
ATF2,HIST1H4D
ATF2,TOR1AIP1
ATF2,SCAF11
ATF2,SDCBP2
ATF2,MED11
ATF2,ENOSF1
ATF2,SLC39A6
ATF2,ELP2
ATF2,C9orf72
ATF2,NUP62
ATF2,ATF5
ATF2,CCT2
ATF2,MYL6
ATF2,POM121
ATF2,RPS9
ATF2,RABGAP1L
ATF2,PLK4
ATF2,PARD6A
ATF2,ACD
ATF2,DDX42
ATF2,CCDC47
ATF2,ATF3
ATF2,HSP90AB1
ATF2,FAM208B
ATF2,ZC3H10
ATF2,TRIM37
ATF2,RBM39
ATF2,METTL1
ATF2,EEF1AKMT3
ATF2,DUSP8
ATF2,OCIAD1
ATF2,SS18L2
ATF2,SLC25A3
ATF2,IMPDH2
ATF2,ARID4A
ATF2,HIST1H3B
ATF2,TTC1
ATF2,THAP5
ATF2,DNAJB9
ATF2,SLC3A2
ATF2,TIGD1
ATF2,EIF4E2
ATF2,ZBTB21
ATF2,ABCA3
ATF2,TRAM1
ATF2,NFX1
ATF2,IBA57
ATF2,EPS15
ATF2,MRPL24
ATF2,CKS2
ATF2,USO1
ATF2,CDK2AP2
ATF2,SYS1
ATF2,DNAJB4
ATF2,MFSD4B
ATF2,POLR2J2
ATF2,ERCC6L2
ATF2,ZC3H4
ATF2,COMMD8
ATF2,SEC23B
ATF2,SRCAP
ATF2,LOC730183
ATF2,LZTFL1
ATF2,TMEM39A
ATF2,PPM1A
ATF2,TMEM209
ATF2,KIAA0556
ATF2,GTF3C1
ATF2,RBM42
ATF2,BORCS7
ATF2,RPS6
ATF2,DTL
ATF2,SREBF1
ATF2,PARK7
ATF2,STK19
ATF2,DXO
ATF2,SPDL1
ATF2,TOB2
ATF2,EIF3E
ATF2,PTPN4
ATF2,RBM17
ATF2,GTPBP10
ATF2,EIF4G2
ATF2,FOSB
ATF2,CLASP1
ATF2,UBB
ATF2,PRCD
ATF2,TJP3
ATF2,TRMT61B
ATF2,MAGOHB
ATF2,CNDP2
ATF2,STX4
ATF2,TAOK2
ATF2,MPHOSPH9
ATF2,C12orf65
ATF2,MORF4L1
ATF2,TSGA10
ATF2,FUT10
ATF2,PUM3
ATF2,ATP5PO
ATF2,PALB2
ATF2,IPP
ATF2,TTC37
ATF2,PCNA
ATF2,ARSK
ATF2,GLYCTK
ATF2,ZNF182
ATF2,TRA2B
ATF2,SPACA5
ATF2,HIST1H1C
ATF2,KDM3A
ATF2,UTP18
ATF2,MBTD1
ATF2,SRRT
ATF2,RRP1
ATF2,RASSF1
ATF2,MYCBP2
ATF2,CDC42
ATF2,RPL24
ATF2,UGGT2
ATF2,MRPS15
ATF2,SIRT5
ATF2,YIF1A
ATF2,EED
ATF2,VPS37B
ATF2,PWP1
ATF2,MRPL17
ATF2,AP2B1
ATF2,RPL5
ATF2,RPL13A
ATF2,CCDC59
ATF2,SNAP47
ATF2,JMJD4
ATF2,USP48
ATF2,HIST1H2BJ
ATF2,HIST1H2AG
ATF2,RPL10A
ATF2,UROS
ATF2,BCCIP
ATF2,SERF2
ATF2,SMIM7
ATF2,TMEM18
ATF2,SNRPB2
ATF2,PTPA
ATF2,CRAT
ATF2,C12orf57
ATF2,EEF1A1
ATF2,RBM7
ATF2,C11orf71
ATF2,ARF4
ATF2,WARS2
ATF2,CBWD5
ATF2,RCCD1
ATF2,FAM133B
ATF2,EIF2D
ATF2,SSBP2
ATF2,ZFYVE27
ATF2,ALDH16A1
ATF2,RPLP0
ATF2,POP7
ATF2,NUP107
ATF2,RPS27
ATF2,HIST1H2BG
ATF2,HIST1H2AE
ATF2,FBXO31
ATF2,SLC30A5
ATF2,TBL1X
ATF2,SESN1
ATF2,HIST1H2BN
ATF2,HIST1H2AK
ATF2,MEGF8
ATF2,ESRRA
ATF2,GTF2B
ATF2,SSBP1
ATF2,DYRK1B
ATF2,OPA1
ATF2,GON4L
ATF2,GOLGA1
ATF2,RBBP5
ATF2,TTC32
ATF2,TMEM69
ATF2,MAN2C1
ATF2,ZCWPW1
ATF2,UBN2
ATF2,SREK1
ATF2,MEPCE
ATF2,PPM1D
ATF2,MTRNR2L9
ATF2,ZNHIT1
ATF2,PLOD3
ATF2,MEMO1
ATF2,GBA
ATF2,RPL12
ATF2,LRSAM1
ATF2,C19orf73
ATF2,UTP23
ATF2,CCNB1IP1
ATF2,COPB2
ATF2,FLYWCH1
ATF2,KAT7
ATF2,BTF3
ATF2,PDE4A
ATF2,ZNFX1
ATF2,UQCRQ
ATF2,GDF9
ATF2,SDHAF3
ATF2,ZNF473
ATF2,ZDHHC12
ATF2,VRK3
ATF2,PPP1R10
ATF2,PCNP
ATF2,MRPS18B
ATF2,PPP2R5C
ATF2,SIPA1L1
ATF2,ZNF24
ATF2,STXBP4
ATF2,SLC33A1
ATF2,BCAS2
ATF2,TCAIM
ATF2,ARG2
ATF2,ICE2
ATF2,HIST1H2BK
ATF2,HIST1H2AH
ATF2,COQ3
ATF2,MXD1
ATF2,BRD2
ATF2,TIGD6
ATF2,JOSD2
ATF2,HMGXB3
ATF2,HMMR
ATF2,HDAC4
ATF2,CREM
ATF2,HIST1H3A
ATF2,SARS2
ATF2,MRPS12
ATF2,IRGM
ATF2,MED20
ATF2,BYSL
ATF2,TUT1
ATF2,LENG8
ATF2,OSER1
ATF2,SCAMP1
ATF2,XPC
ATF2,LSM3
ATF2,SF3B6
ATF2,ZBTB37
ATF2,LPXN
ATF2,YARS2
ATF2,HIST2H2BE
ATF2,HIST2H2AC
ATF2,HIST2H2AB
ATF2,TMEM170A
ATF2,CNOT1
ATF2,NUP214
ATF2,USP36
ATF2,RPL9
ATF2,LIAS
ATF2,DUS3L
ATF2,ERGIC3
ATF2,TBRG4
ATF2,HIST1H4A
ATF2,AAAS
ATF2,CCS
ATF2,CCDC87
ATF2,AARSD1
ATF2,SMIM27
ATF2,TBC1D25
ATF2,HPS5
ATF2,GTF2H1
ATF2,PPP5C
ATF2,CSDE1
ATF2,RFXANK
ATF2,BORCS8
ATF2,LOXL3
ATF2,DOK1
ATF2,YTHDC2
ATF2,MRPL55
ATF2,YWHAH
ATF2,HIST1H1D
ATF2,C22orf24
ATF2,NBN
ATF2,AKAP8
ATF2,PREPL
ATF2,CAMKMT
ATF2,NOL7
ATF2,LRRC23
ATF2,HMGCR
ATF2,ZC3H15
ATF2,NUDT18
ATF2,CCDC90B
ATF2,AKTIP
ATF2,RAP2B
ATF2,TMEM87A
ATF2,HERC1
ATF2,GMNN
ATF2,GANC
ATF2,FBXO46
ATF2,MPC2
ATF2,DCAF6
ATF2,DDX41
ATF2,CBWD6
ATF2,RHOB
ATF2,AIP
ATF2,TBCCD1
ATF2,ITSN1
ATF2,CRYZL1
ATF2,TUBA1B
ATF2,USP9X
ATF2,SHISA5
ATF2,HIST3H2BB
ATF2,HIST3H2A
ATF2,TMF1
ATF2,TIPRL
ATF2,GTF2H3
ATF2,EIF2B1
ATF2,SPTLC1
ATF2,R3HDM2
ATF2,PDE7A
ATF2,ANAPC7
ATF2,RPL41
ATF2,NUDT15
ATF2,SLC39A7
ATF2,RXRB
ATF2,IMP3
ATF2,HIST2H2AA4
ATF2,HIST2H2AA3
ATF2,DNAJB12
ATF2,TPRKB
ATF2,CLTC
ATF2,TAF6
ATF2,CNPY4
ATF2,CDK19
ATF2,SMIM4
ATF2,SRSF3
ATF2,BTG1
ATF2,DIABLO
ATF2,NUF2
ATF2,BRAF
ATF2,NFYC
ATF2,NAT10
ATF2,PSMC4
ATF2,INTS12
ATF2,GSTCD
ATF2,THG1L
ATF2,RPL10
ATF2,TMEM259
ATF2,HOMER1
ATF2,CIAO3
ATF2,INTS2
ATF2,HSDL2
ATF2,B9D1
ATF2,RPS13
ATF2,CBWD3
ATF2,TSPAN31
ATF2,PGAM1
ATF2,SENP2
ATF2,RANBP2
ATF2,RAPGEF6
ATF2,C11orf65
ATF2,RPS3A
ATF2,PNN
ATF2,SF3B5
ATF2,ZNF687
ATF2,SRSF11
ATF2,SKA3
ATF2,PDCL3
ATF2,MRPL57
ATF2,SRP54
ATF2,P4HB
ATF2,NBEAL1
ATF2,CD68
ATF2,AHI1
ATF2,HIST1H2BD
ATF2,SKA1
ATF2,RWDD1
ATF2,EFHC1
ATF2,THADA
ATF2,ZNF460
ATF2,SLC39A10
ATF2,SFPQ
ATF2,BCLAF1
ATF2,ALS2
ATF2,STAG1
ATF2,PLEKHG1
ATF2,CCDC174
ATF2,ILF2
ATF2,TBC1D9
ATF2,PSMD5
ATF2,SART1
ATF2,RSL24D1
ATF2,ABHD11
ATF2,TSFM
ATF2,PURB
ATF2,DAAM1
ATF2,ATG5
ATF2,IFRD1
ATF2,SKAP2
ATF2,IFT172
ATF2,EXD1
ATF2,CHP1
ATF2,OSGEPL1
ATF2,HPD
ATF2,DDX19B
ATF2,RPL22L1
ATF2,SPATA24
ATF2,AMD1
ATF2,RNF38
ATF2,UQCRB
ATF2,PLK3
ATF2,KLHL12
ATF2,CLK1
ATF2,NDUFA5
ATF2,ATG7
ATF2,MZF1
ATF2,POLI
ATF2,NUTM1
ATF2,NOP10
ATF2,SEPT7
ATF2,MTF2
ATF2,AARS
ATF2,RPS28
ATF2,PDE8A
ATF2,CDIPT
ATF2,STK11IP
ATF2,GTPBP8
ATF2,BMT2
ATF2,TRIP6
ATF2,DNAJC25-GNG10
ATF2,UBR4
ATF2,NEK4
ATF2,NCOA7
ATF2,RPUSD4
ATF2,FAM118B
ATF2,COX7B
ATF2,SBDS
ATF2,ZNF286A
ATF2,RBM28
ATF2,CLCN3
ATF2,UBC
ATF2,APTX
ATF2,CALM2
ATF2,SLC37A4
ATF2,P4HA1
ATF2,CARNMT1
ATF2,RPL29
ATF2,NXF1
ATF2,MRM3
ATF2,GLOD4
ATF2,EMSY
ATF2,SSNA1
ATF2,ANAPC2
ATF2,RNF43
ATF2,EEF2
ATF2,CD320
ATF2,YWHAE
ATF2,ATF7IP
ATF2,ERLIN2
ATF2,MAPKAPK5
ATF2,EIF2B3
ATF2,ESYT1
ATF2,SPAST
ATF2,PPP4R3B
ATF2,TCF3
ATF2,ATP5MC1
ATF2,BLOC1S2
ATF2,TMEM242
ATF2,ZNF574
ATF2,TRIP4
ATF2,RPL6
ATF2,MTIF2
ATF2,TARBP2
ATF2,EIF4A1
ATF2,SLC35A5
ATF2,NSRP1
ATF2,ATG3
ATF2,ARPC1A
ATF2,UIMC1
ATF2,GTF2IRD2
ATF2,FAM206A
ATF2,ELP1
ATF2,RAB11B
ATF2,SNX14
ATF2,POLR3D
ATF2,DDX10
ATF2,VPS28
ATF2,KLHL18
ATF2,KIF9
ATF2,ZBTB10
ATF2,ETFDH
ATF2,C4orf46
ATF2,YIPF3
ATF2,POLR1C
ATF2,OGDH
ATF2,CEP57L1
ATF2,SECISBP2
ATF2,KMT2C
ATF2,DUSP1
ATF2,LIPT1
ATF2,SMG5
ATF2,ATG10
ATF2,ACTR3
ATF2,PSTK
ATF2,PRC1
ATF2,RAB10
ATF2,HIST1H2AL
ATF2,ZNF184
ATF2,TIPIN
ATF2,NUDT2
ATF2,KIF24
ATF2,ZSCAN5A
ATF2,TFCP2
ATF2,NPAS4
ATF2,LETM2
ATF2,ING4
ATF2,SGF29
ATF2,RBPJ
ATF2,PES1
ATF2,GSK3B
ATF2,RNF141
ATF2,RAB5IF
ATF2,PARP2
ATF2,RPF2
ATF2,C6orf106
ATF2,SPG11
ATF2,PPIL3
ATF2,NIF3L1
ATF2,IP6K1
ATF2,ATM
ATF2,BEST1
ATF2,LNPEP
ATF2,PMF1-BGLAP
ATF2,PMF1
ATF2,NUPL2
ATF2,GRPEL2
ATF2,MRPL44
ATF2,RBM8A
ATF2,IQCH
ATF2,AAGAB
ATF2,SLC7A11
ATF2,C6orf48
ATF2,GTF2IRD2B
ATF2,GLCE
ATF2,GALK2
ATF2,COPS2
ATF2,RBKS
ATF2,BABAM2
ATF2,ZFYVE19
ATF2,DNAJC17
ATF2,ZNF330
ATF2,COQ5
ATF2,METTL15
ATF2,KIF18A
ATF2,TUBA1C
ATF2,TMEM183B
ATF2,TMEM183A
ATF2,MTHFD2
ATF2,NME1
ATF2,H2AFV
ATF2,ATF7
ATF2,NDUFAF1
ATF2,STOML2
ATF2,GGPS1
ATF2,ARID4B
ATF2,SLC25A11
ATF2,RNF167
ATF2,C9orf3
ATF2,DCP1A
ATF2,PPP6C
ATF2,CCDC150
ATF2,HIST4H4
ATF2,FBXO48
ATF2,APLF
ATF2,NDC80
ATF2,METTL4
ATF2,TMEM101
ATF2,TRMT11
ATF2,MLF2
ATF2,DPP8
ATF2,CAND1
ATF2,PDE4DIP
ATF2,OPA3
ATF2,MRPS33
ATF2,ETFA
ATF2,GGCX
ATF2,UQCC1
ATF2,TAF1D
ATF2,C11orf54
ATF2,RAP2A
ATF2,ELP5
ATF2,CTDNEP1
ATF2,SRSF5
ATF2,ERGIC2
ATF2,TTLL5
ATF2,ERG28
ATF2,ATP5F1B
ATF2,ASB8
ATF2,ZC3H3
ATF2,FAM135A
ATF2,NOL11
ATF2,ZFP91
ATF2,PSPH
ATF2,CCT6A
ATF2,UBE2D3
ATF2,RALGAPA1
ATF2,PPIL2
ATF2,MRPS17
ATF2,SFR1
ATF2,N4BP1
ATF2,SPTY2D1
ATF2,BIRC2
ATF2,THOC1
ATF2,SDR39U1
ATF2,OXNAD1
ATF2,NOLC1
ATF2,NCAPG
ATF2,DPH3
ATF2,SP2
ATF2,TM9SF4
ATF2,WDR36
ATF2,CFDP1
ATF2,KIF27
ATF2,RPL17-C18orf32
ATF2,RPL17
ATF2,RAD50
ATF2,EXD2
ATF2,NOP16
ATF2,HIGD2A
ATF2,CSTF3
ATF2,TUBGCP5
ATF2,OGA
ATF2,RFC4
ATF2,KLF7
ATF2,HEXIM2
ATF2,DHX8
ATF2,ZNRD1
ATF2,CEP295
ATF2,CCDC107
ATF2,SEC24C
ATF2,ZNF547
ATF2,TRAPPC2B
ATF2,GABPB2
ATF2,FNBP4
ATF2,SNRPG
ATF2,PPFIBP1
ATF2,RND2
ATF2,AP5S1
ATF2,NAA38
ATF2,CYB5D1
ATF2,TRIAP1
ATF2,ING3
ATF2,ILF3
ATF2,DNAJC14
ATF2,USPL1
ATF2,SCAND1
ATF2,HMGB1
ATF2,COX7A2
ATF2,TBC1D19
ATF2,LRIF1
ATF2,TDG
ATF2,NAA50
ATF2,ATP6V1A
ATF2,EIF2S1
ATF2,ATP6V1D
ATF2,RPL34
ATF2,DDX5
ATF2,CEP95
ATF2,ZSCAN31
ATF2,VTA1
ATF2,NMBR
ATF2,CASC3
ATF2,GSTK1
ATF2,ELF3
ATF2,ATAD3A
ATF2,GNL2
ATF2,C5orf24
ATF2,PTGES3
ATF2,NARS2
ATF2,COX7C
ATF2,SF1
ATF2,PPIA
ATF2,ISCU
ATF2,TBL3
ATF2,SYT11
ATF2,RPS20
ATF2,B3GAT3
ATF2,UBE2A
ATF2,HECA
ATF2,FOXN2
ATF2,STYXL1
ATF2,RAD52
ATF2,MDH2
ATF2,TRAPPC3
ATF2,SNRPF
ATF2,CHCHD5
ATF2,HIST1H1E
ATF2,OGFOD2
ATF2,NLRX1
ATF2,WDR31
ATF2,ANAPC10
ATF2,ABCE1
ATF2,HIRIP3
ATF2,FNTB
ATF2,TAOK1
ATF2,INO80
ATF2,ZNF438
ATF2,SLF2
ATF2,BPNT1
ATF2,SF3A3
ATF2,CCNB1
ATF2,SPAG9
ATF2,RFFL
ATF2,SHOC2
ATF2,BBIP1
ATF2,TIMM17A
ATF2,PARP6
ATF2,TGOLN2
ATF2,TARS2
ATF2,PPM1K
ATF2,DUSP16
ATF2,VPS4B
ATF2,WDR6
ATF2,VMAC
ATF2,NDUFA11
ATF2,HINT3
ATF2,CSKMT
ATF2,GHITM
ATF2,CETN3
ATF2,TRA2A
ATF2,MAK16
ATF2,STAT3
ATF2,MMADHC
ATF2,PNPLA8
ATF2,DPY30
ATF2,COQ7
ATF2,THUMPD3
ATF2,JOSD1
ATF2,ANGEL2
ATF2,MAP3K12
ATF2,CBWD2
ATF2,AGFG2
ATF2,HIST2H3C
ATF2,HIST2H3A
ATF2,C17orf49
ATF2,AIFM1
ATF2,WDR62
ATF2,THAP8
ATF2,LMBRD1
ATF2,BTBD10
ATF2,HM13
ATF2,BCL2L13
ATF2,ANGEL1
ATF2,EIF3F
ATF2,AP3S2
ATF2,UBE2H
ATF2,MAP3K7
ATF2,KLHDC10
ATF2,HIST1H2BH
ATF2,TSG101
ATF2,RPA2
ATF2,KBTBD3
ATF2,AASDHPPT
ATF2,RSRC2
ATF2,RBM4B
ATF2,KNTC1
ATF2,HIGD2B
ATF2,BBS4
ATF2,CBR4
ATF2,BMS1
ATF2,PSMD8
ATF2,EVI5
ATF2,ZMAT2
ATF2,RPL27
ATF2,GPBP1
ATF2,CDKL3
ATF2,STXBP3
ATF2,RINT1
ATF2,RAB33B
ATF2,OS9
ATF2,ANAPC15
ATF2,LEO1
ATF2,PSMA4
ATF2,GCLC
ATF2,FSIP1
ATF2,XRN2
ATF2,C2orf74
ATF2,BTAF1
ATF2,ABCB10
ATF2,XRCC6
ATF2,PEF1
ATF2,NUMA1
ATF2,LRTOMT
ATF2,DESI1
ATF2,ZNF589
ATF2,COX16
ATF2,USP30
ATF2,MED18
ATF2,MYNN
ATF2,RNPS1
ATF2,MRPS31
ATF2,ACYP2
ATF2,TATDN3
ATF2,NSL1
ATF2,CREB5
ATF2,STAU1
ATF2,DDX27
ATF2,CCSER2
ATF2,TMED1
ATF2,RPL37
ATF2,CLDN12
ATF2,VPS51
ATF2,CBWD1
ATF2,GARS
ATF2,UBE2T
ATF2,DUS2
ATF2,DDX28
ATF2,HSD17B4
ATF2,ZDHHC4
ATF2,UTP3
ATF2,POLG
ATF2,OVCA2
ATF2,SYCE2
ATF2,SUCO
ATF2,TMEM206
ATF2,DCTN4
ATF2,CCNT1
ATF2,ALKBH2
ATF2,CCDC13
ATF2,TFB2M
ATF2,ESYT2
ATF2,CNST
ATF2,NCL
ATF2,WDR35
ATF2,MRPL53
ATF2,HSPA5
ATF2,ARF3
ATF2,LTV1
ATF2,CITED2
ATF2,HIST1H4L
ATF2,HIST1H3I
ATF2,DDX39B
ATF2,NDUFS3
ATF2,KBTBD4
ATF2,KANSL2
ATF2,C4orf3
ATF2,RBM12
ATF2,RAD9B
ATF2,KRR1
ATF2,CPNE1
ATF2,ACBD4
ATF2,ORC4
ATF2,MBD5
ATF2,ERLIN1
ATF2,RPS15A
ATF2,NOP58
ATF2,GPN1
ATF2,CCDC121
ATF2,B3GALNT2
ATF2,NDUFS5
ATF2,MED1
ATF2,BAG6
ATF2,RUVBL1
ATF2,DUSP3
ATF2,SUPT5H
ATF2,PIGL
ATF2,COASY
ATF2,TAMM41
ATF2,PAF1
ATF2,NR1H3
ATF2,MED29
ATF2,ACP2
ATF2,ZNF25
ATF2,WASHC2A
ATF2,STK38L
ATF2,ST5
ATF2,RPL15
ATF2,NKIRAS1
ATF2,CLPTM1
ATF2,ATP6V0D1
ATF2,DHPS
ATF2,ANKRD17
ATF2,TMEM115
ATF2,HSPH1
ATF2,RPL23
ATF2,DYNC2LI1
ATF2,CCT8
ATF2,ZWILCH
ATF2,ZNF165
ATF2,RPL4
ATF2,MRPL1
ATF2,HIST2H2BF
ATF2,SND1
ATF2,MOCS3
ATF2,DPM1
ATF2,AQR
ATF2,IQCG
ATF2,SPRED2
ATF2,PCBP1
ATF2,LZTS3
ATF2,TFPT
ATF2,PRPF31
ATF2,MTERF1
ATF2,CMSS1
ATF2,TXN2
ATF2,PIGO
ATF2,TMEM167B
ATF2,TRNT1
ATF2,NR1H2
ATF2,ITGB1BP1
ATF2,CPSF3
ATF2,NUP54
ATF2,VMP1
ATF2,PTRH2
ATF2,SRP19
ATF2,RFC3
ATF2,PRKAR1A
ATF2,UVSSA
ATF2,SMG8
ATF2,TRIM41
ATF2,CD2BP2
ATF2,SRFBP1
ATF2,AASDH
ATF2,NFU1
ATF2,TMEM128
ATF2,ARL2BP
ATF2,ZNF207
ATF2,RPL23A
ATF2,LIG4
ATF2,CDK13
ATF2,RPL26L1
ATF2,MRPL30
ATF2,MITD1
ATF2,RAB11A
ATF2,BOD1L1
ATF2,TTC23
ATF2,LRRC28
ATF2,PPIP5K2
ATF2,NDUFS7
ATF2,MOB4
ATF2,CCNC
ATF2,RIPK2
ATF2,TRAF7
ATF2,RMND1
ATF2,PDE12
ATF2,DDX18
ATF2,ARMT1
ATF2,ZNF410
ATF2,DDX59
ATF2,TOMM40
ATF2,SEC62
ATF2,LDAH
ATF2,MTRNR2L10
ATF2,FBXO38
ATF2,ARL6IP1
ATF2,AP1AR
ATF2,ZNF121
ATF2,HKR1
ATF2,RPS26
ATF2,DCT
ATF2,NPAT
ATF2,GCC2
ATF2,CTH
ATF2,COMMD2
ATF2,ZBTB11
ATF2,TBC1D22A
ATF2,KDM1A
ATF2,CEP85
ATF2,SCAMP3
ATF2,MRPL16
ATF2,BBS1
ATF2,MATR3
ATF2,DZIP3
ATF2,CIP2A
ATF2,ZFAND2B
ATF2,MAPK1IP1L
ATF2,DALRD3
ATF2,RARS
ATF2,IRF2BPL
ATF2,ESCO1
ATF2,TNPO1
ATF2,SLC35F5
ATF2,PCNX4
ATF2,ANKRD54
ATF2,MTREX
ATF2,ALG10
ATF2,ACTR6
ATF2,GADD45B
ATF2,XKR6
ATF2,SMARCAD1
ATF2,ADNP2
ATF2,VPS25
ATF2,SIDT2
ATF2,MRPL27
ATF2,EME1
ATF2,OSGEP
ATF2,APEX1
ATF2,HIST1H2BE
ATF2,TSPYL4
ATF2,PCM1
ATF2,ZNF143
ATF2,HIST1H2BM
ATF2,HIST1H2AJ
ATF2,HAUS5
ATF2,H2BFS
ATF2,DENND4A
ATF2,METTL9
ATF2,ASXL1
ATF2,ZNF808
ATF2,ADGRL1
ATF2,SNRPE
ATF2,CEP83
ATF2,DNAL1
ATF2,PSME3
ATF2,ZNF408
ATF2,ARHGAP1
ATF2,STT3A
ATF2,NKTR
ATF2,EIF3L
ATF2,G3BP1
ATF2,FBXL18
ATF2,TRMT2A
ATF2,RANBP1
ATF2,YME1L1
ATF2,MASTL
ATF2,CCDC86
ATF2,KIF2A
ATF2,VPS13C
ATF2,GPATCH3
ATF2,RPL38
ATF2,C3orf67
ATF2,NIP7
ATF2,COG8
ATF2,RAB14
ATF2,GSN
ATF2,SUGT1
ATF2,FRA10AC1
ATF2,CEP120
ATF2,UBE2B
ATF2,TMEM41B
ATF2,H2AFZ
ATF2,UBE4A
ATF2,COPS7A
ATF2,WDR33
ATF2,RAD51AP1
ATF2,NDUFB7
ATF2,C12orf4
ATF2,AARS2
ATF2,TTC26
ATF2,FLRT3
ATF2,HSPA9
ATF2,CRELD1
ATF2,POM121C
ATF2,POLD1
ATF2,DNAJB11
ATF2,CENPN
ATF2,C11orf1
ATF2,ATP5MC3
ATF2,PMVK
ATF2,USP37
