Gene1,Gene2,Score
AICDA,TBC1D22A,810.0
AICDA,CHMP2A,810.0
AICDA,GABPA,809.0
AICDA,ATP5J,809.0
AICDA,DHRSX,738.0
AICDA,DDX56,705.0
AICDA,FIBP,800.0
AICDA,RPL37,795.0
AICDA,ARPC3,795.0
AICDA,PPID,792.0
AICDA,TAF1C,791.0
AICDA,BC004004,786.0
AICDA,ARIH2,786.0
AICDA,MRPL28,783.0
AICDA,MRPS21,778.0
AICDA,TMEM230,773.0
AICDA,SLC35C2,758.0
AICDA,TRMT10C,756.0
AICDA,SF3A3,752.0
AICDA,TFIP11,748.0
AICDA,SUPT16,748.0
AICDA,SUPT4A,746.0
AICDA,PSMD7,745.0
AICDA,GLE1,743.0
AICDA,COX5B,741.0
AICDA,MTF1,739.0
AICDA,TATDN3,737.0
AICDA,NSL1,737.0
AICDA,ASB6,736.0
AICDA,ELOF1,733.0
AICDA,MRPS22,732.0
AICDA,TNPO3,731.0
AICDA,FAM91A1,730.0
AICDA,PGGT1B,729.0
AICDA,NMNAT1,729.0
AICDA,LZIC,729.0
AICDA,ZC3H10,658.0
AICDA,SAR1A,726.0
AICDA,OCIAD1,725.0
AICDA,SDHAF3,714.0
AICDA,GTF2A2,712.0
AICDA,SMU1,710.0
AICDA,RPS20,710.0
AICDA,ATXN2,708.0
AICDA,IMPACT,707.0
AICDA,RBM34,592.0
AICDA,BTF3,702.0
AICDA,TTC4,700.0
AICDA,CAMK2D,696.0
AICDA,CRNKL1,693.0
AICDA,CFAP61,693.0
AICDA,CCDC15,693.0
AICDA,ACP2,693.0
AICDA,DGUOK,687.0
AICDA,MLLT1,681.0
AICDA,STRAP,679.0
AICDA,ATP13A1,678.0
AICDA,EXOSC4,676.0
AICDA,CDK13,675.0
AICDA,MAPK1IP1L,671.0
AICDA,GNB1,671.0
AICDA,WDR24,669.0
AICDA,COX6A1,666.0
AICDA,UBAC2,662.0
AICDA,RNF20,660.0
AICDA,SNU13,658.0
AICDA,ERLEC1,656.0
AICDA,ASB3,656.0
AICDA,TIMM29,655.0
AICDA,AP3S2,543.0
AICDA,TBCEL,652.0
AICDA,MRPL3,650.0
AICDA,ZFC3H1,647.0
AICDA,THAP2,647.0
AICDA,HIST1H2BE,253.0
AICDA,ZBTB49,641.0
AICDA,SNRPD2,641.0
AICDA,SMN1,641.0
AICDA,QPCTL,641.0
AICDA,LYAR,641.0
AICDA,RSL1D1,637.0
AICDA,TOMM6,634.0
AICDA,C330018D20RIK,632.0
AICDA,METTL2,630.0
AICDA,ZFPL1,625.0
AICDA,TMEM198B,625.0
AICDA,SEC24A,625.0
AICDA,DNAJC14,625.0
AICDA,CDCA5,625.0
AICDA,RBM17,223.0
AICDA,PIGC,624.0
AICDA,4930558K02RIK,624.0
AICDA,PIGM,623.0
AICDA,GTPBP4,623.0
AICDA,DDX55,623.0
AICDA,PHF5A,622.0
AICDA,ACO2,622.0
AICDA,TACO1,621.0
AICDA,COX17,621.0
AICDA,NDUFAF7,620.0
AICDA,MFAP3,620.0
AICDA,FAM114A2,620.0
AICDA,CEBPZ,620.0
AICDA,ZFP26,618.0
AICDA,RPL28,617.0
AICDA,PEX12,617.0
AICDA,TEX14,259.0
AICDA,CALR3,614.0
AICDA,1700030K09RIK,614.0
AICDA,KDM4B,613.0
AICDA,ZFP426,612.0
AICDA,PRPF6,610.0
AICDA,NOL7,610.0
AICDA,EDC4,610.0
AICDA,BBS10,607.0
AICDA,HSPBP1,606.0
AICDA,ZNHIT6,605.0
AICDA,MTPN,605.0
AICDA,ZBTB26,602.0
AICDA,RABGAP1,602.0
AICDA,PSMB4,601.0
AICDA,EIF4E2,598.0
AICDA,RUVBL2,596.0
AICDA,GYS1,596.0
AICDA,RPS14,595.0
AICDA,PRPF3,595.0
AICDA,HIST1H1C,239.0
AICDA,FAF2,593.0
AICDA,RARS2,589.0
AICDA,ORC3,589.0
AICDA,ZBTB6,588.0
AICDA,GPS2,588.0
AICDA,TUT1,583.0
AICDA,NUF2,511.0
AICDA,DDX18,501.0
AICDA,DNTTIP2,578.0
AICDA,NSA2,487.0
AICDA,GFM2,487.0
AICDA,BPI,577.0
AICDA,MINPP1,576.0
AICDA,POLR2A,243.0
AICDA,GCN1L1,572.0
AICDA,MED17,571.0
AICDA,ANKRD12,570.0
AICDA,CHCHD2,568.0
AICDA,TRP53RKB,567.0
AICDA,ZCCHC9,566.0
AICDA,STX16,474.0
AICDA,LONP1,564.0
AICDA,CATSPERD,564.0
AICDA,USPL1,563.0
AICDA,SLC25A46,563.0
AICDA,RTEL1,562.0
AICDA,ITPA,562.0
AICDA,COPS9,561.0
AICDA,TET3,558.0
AICDA,MRPL21,558.0
AICDA,IGHMBP2,558.0
AICDA,NIP7,551.0
AICDA,COG8,551.0
AICDA,STMN1,550.0
AICDA,RPL29,550.0
AICDA,MOCS3,550.0
AICDA,DPM1,550.0
AICDA,ZKSCAN1,549.0
AICDA,TRAIP,547.0
AICDA,EBNA1BP2,547.0
AICDA,CFAP57,547.0
AICDA,KTI12,544.0
AICDA,GTF3C6,329.0
AICDA,NUDCD3,542.0
AICDA,COX7A2,541.0
AICDA,POLR3A,539.0
AICDA,CLASRP,539.0
AICDA,ZFP60,538.0
AICDA,ZFP511,536.0
AICDA,TUBGCP2,536.0
AICDA,RFC3,535.0
AICDA,NSRP1,535.0
AICDA,ISY1,535.0
AICDA,ZFP276,533.0
AICDA,VPS9D1,533.0
AICDA,KDM5A,533.0
AICDA,HIST1H3F,285.0
AICDA,SNF8,531.0
AICDA,AAR2,529.0
AICDA,NDUFA12,528.0
AICDA,TBC1D7,409.0
AICDA,SRP14,527.0
AICDA,METTL17,522.0
AICDA,CCNT1,522.0
AICDA,4930453N24RIK,522.0
AICDA,PEX3,271.0
AICDA,PCID2,521.0
AICDA,CUL4A,521.0
AICDA,ADAT2,271.0
AICDA,MPC2,519.0
AICDA,EIF1AD,519.0
AICDA,DCAF6,519.0
AICDA,BANF1,519.0
AICDA,TXNIP,517.0
AICDA,SRP54B,517.0
AICDA,HEMK1,516.0
AICDA,CC2D1B,512.0
AICDA,NPAS4,219.0
AICDA,LSM2,511.0
AICDA,HIST1H1E,229.0
AICDA,BTAF1,507.0
AICDA,GNAI3,506.0
AICDA,ZFP598,503.0
AICDA,CNPY3,503.0
AICDA,CNOT10,502.0
AICDA,USP19,501.0
AICDA,SSBP1,501.0
AICDA,NR1H2,500.0
AICDA,PHRF1,496.0
AICDA,TBC1D15,495.0
AICDA,SEC23IP,495.0
AICDA,RPS11,491.0
AICDA,RAB5IF,491.0
AICDA,TRMT6,490.0
AICDA,MCM8,490.0
AICDA,YRDC,489.0
AICDA,WASHC4,489.0
AICDA,ARPC5L,489.0
AICDA,1110065P20RIK,489.0
AICDA,TMEM234,488.0
AICDA,RNF185,488.0
AICDA,GGA1,488.0
AICDA,EIF3I,488.0
AICDA,ANAPC15,488.0
AICDA,ANKRD28,484.0
AICDA,VPS51,269.0
AICDA,EIF3M,481.0
AICDA,BLOC1S6,481.0
AICDA,MRPL58,480.0
AICDA,AAAS,480.0
AICDA,MPHOSPH9,479.0
AICDA,LLPH,479.0
AICDA,2810006K23RIK,479.0
AICDA,AURKAIP1,476.0
AICDA,WDR31,475.0
AICDA,SRP54C,475.0
AICDA,PDSS1,475.0
AICDA,USP8,474.0
AICDA,SNRPD1,474.0
AICDA,ABHD17B,474.0
AICDA,1110059E24RIK,474.0
AICDA,DIXDC1,473.0
AICDA,DDOST,473.0
AICDA,EIF2AK1,472.0
AICDA,UQCC1,471.0
AICDA,REXO5,471.0
AICDA,RAE1,471.0
AICDA,ERI2,471.0
AICDA,SNRPB,469.0
AICDA,SPPL2A,468.0
AICDA,DDX21,467.0
AICDA,SECISBP2,466.0
AICDA,LTN1,466.0
AICDA,HIST1H3E,196.0
AICDA,PALB2,464.0
AICDA,NIFK,464.0
AICDA,DCTN5,464.0
AICDA,KRR1,460.0
AICDA,DAD1,283.0
AICDA,ABHD4,283.0
AICDA,TOPBP1,457.0
AICDA,SPINK10,457.0
AICDA,SIK3,457.0
AICDA,PAFAH1B2,457.0
AICDA,FBXO38,457.0
AICDA,EIF4A3,457.0
AICDA,RPS5,454.0
AICDA,CDK5RAP1,454.0
AICDA,HIKESHI,453.0
AICDA,UBR7,452.0
AICDA,GON7,452.0
AICDA,GM20604,452.0
AICDA,ZFP672,451.0
AICDA,SH3BP5L,451.0
AICDA,RPL34-PS1,451.0
AICDA,RPL34,451.0
AICDA,NABP1,315.0
AICDA,CIART,450.0
AICDA,TRP53RKA,372.0
AICDA,DHX33,342.0
AICDA,VPS45,447.0
AICDA,TSC2,445.0
AICDA,NTHL1,445.0
AICDA,LAMP1,445.0
AICDA,GNL2,444.0
AICDA,RER1,442.0
AICDA,MORN1,442.0
AICDA,GTSE1,442.0
AICDA,ADRM1,442.0
AICDA,STOML2,440.0
AICDA,SLU7,440.0
AICDA,MTMR9,438.0
AICDA,TMEM208,437.0
AICDA,LRRC29,437.0
AICDA,TMEM41B,435.0
AICDA,SLC39A13,435.0
AICDA,NAT10,311.0
AICDA,MRPL23,434.0
AICDA,TSG101,432.0
AICDA,SUMO3,432.0
AICDA,PRKAB1,432.0
AICDA,POLR3B,431.0
AICDA,CENPH,431.0
AICDA,ZSWIM8,430.0
AICDA,ACSF3,430.0
AICDA,WDR26,429.0
AICDA,TOP3B,429.0
AICDA,SZT2,429.0
AICDA,STK11IP,429.0
AICDA,PPIL3,332.0
AICDA,NIF3L1,332.0
AICDA,MED8,429.0
AICDA,SACM1L,427.0
AICDA,RINT1,426.0
AICDA,TAF7,425.0
AICDA,HIST1H4J,304.0
AICDA,WDR48,423.0
AICDA,RSL24D1,423.0
AICDA,MRPL30,423.0
AICDA,MITD1,423.0
AICDA,GPR107,421.0
AICDA,TSSC4,420.0
AICDA,URM1,418.0
AICDA,KNL1,418.0
AICDA,ARFGEF2,418.0
AICDA,UBL5,417.0
AICDA,SLX1B,417.0
AICDA,HIST1H2BH,285.0
AICDA,FBXL12,417.0
AICDA,BOLA2,417.0
AICDA,4833420G17RIK,417.0
AICDA,PGS1,416.0
AICDA,DPY19L3,416.0
AICDA,RIOK3,415.0
AICDA,RBMX2,415.0
AICDA,POLR2H,415.0
AICDA,NCBP2,415.0
AICDA,MTOR,278.0
AICDA,NME1,412.0
AICDA,CHAMP1,412.0
AICDA,TRMT112,411.0
AICDA,RACK1,411.0
AICDA,PRDX5,411.0
AICDA,UBE4A,410.0
AICDA,SART1,410.0
AICDA,LRRC47,410.0
AICDA,RRP12,409.0
AICDA,KIFC1,409.0
AICDA,HIST1H4C,289.0
AICDA,TOMM22,407.0
AICDA,SSR2,403.0
AICDA,SLC25A36,403.0
AICDA,ING4,401.0
AICDA,TBCE,399.0
AICDA,KNOP1,399.0
AICDA,IQCK,399.0
AICDA,RAB11A,397.0
AICDA,HIST2H3C2,277.0
AICDA,HIST2H3C1,277.0
AICDA,HIST2H2AA2,277.0
AICDA,HIST2H2AA1,277.0
AICDA,TTC17,396.0
AICDA,TMEM203,396.0
AICDA,SEC13,396.0
AICDA,PPP1R11,396.0
AICDA,NDOR1,396.0
AICDA,AQR,396.0
AICDA,RRN3,395.0
AICDA,RPS6KC1,395.0
AICDA,SERINC1,394.0
AICDA,HJURP,315.0
AICDA,CDKL3,394.0
AICDA,CCDC9,394.0
AICDA,A730008H23RIK,315.0
AICDA,RPS19BP1,393.0
AICDA,RALY,393.0
AICDA,ATP6V0D1,390.0
AICDA,PHF7,389.0
AICDA,MAPKAP1,389.0
AICDA,BAP1,389.0
AICDA,HIST1H4I,281.0
AICDA,RPE,387.0
AICDA,TOR1B,386.0
AICDA,POLR2M,386.0
AICDA,OVCA2,386.0
AICDA,HIST1H2BC,276.0
AICDA,HIST1H2AC,276.0
AICDA,BECN1,385.0
AICDA,MFSD1,384.0
AICDA,HIST1H2BK,304.0
AICDA,HIST1H2AH,304.0
AICDA,SLC36A1,382.0
AICDA,SEC11A,382.0
AICDA,PRPF18,382.0
AICDA,CHID1,382.0
AICDA,PPAN,381.0
AICDA,GAR1,381.0
AICDA,AP1AR,380.0
AICDA,PNKP,379.0
AICDA,IPO4,378.0
AICDA,CHORDC1,378.0
AICDA,RUVBL1,377.0
AICDA,CACNG2,249.0
AICDA,TIMMDC1,376.0
AICDA,SMNDC1,376.0
AICDA,PSMD6,376.0
AICDA,ZFP384,375.0
AICDA,DLST,375.0
AICDA,SPATA5,374.0
AICDA,NUDT6,374.0
AICDA,HARS2,374.0
AICDA,HARS,374.0
AICDA,IDH3B,373.0
AICDA,ZFP433,372.0
AICDA,TMEM161B,372.0
AICDA,SRFBP1,372.0
AICDA,SNIP1,372.0
AICDA,DNALI1,372.0
AICDA,RHBDD1,371.0
AICDA,RETREG2,371.0
AICDA,PEX16,371.0
AICDA,GTF2IRD2,371.0
AICDA,CNPPD1,371.0
AICDA,UTP6,370.0
AICDA,SELENOO,370.0
AICDA,SLC33A1,268.0
AICDA,HIST1H2BN,180.0
AICDA,HIST1H2AK,180.0
AICDA,RAB24,367.0
AICDA,PRELID1,367.0
AICDA,RPL11,365.0
AICDA,ACTL6A,365.0
AICDA,POFUT2,364.0
AICDA,MRPL39,364.0
AICDA,BAG6,363.0
AICDA,RIOK1,362.0
AICDA,GPN2,362.0
AICDA,CRTC1,362.0
AICDA,CAGE1,362.0
AICDA,TRAPPC6B,360.0
AICDA,EDC3,360.0
AICDA,SLC25A26,359.0
AICDA,OGFOD1,357.0
AICDA,NUDT21,357.0
AICDA,TMA16,356.0
AICDA,SCAF11,356.0
AICDA,PSMA5,356.0
AICDA,DDX24,356.0
AICDA,USP36,355.0
AICDA,E2F4,354.0
AICDA,ZFP935,352.0
AICDA,TRUB2,352.0
AICDA,EXOSC3,352.0
AICDA,CALM3,352.0
AICDA,VMP1,348.0
AICDA,PTRH2,348.0
AICDA,DNAJB9,348.0
AICDA,SNRPB2,347.0
AICDA,SDAD1,254.0
AICDA,PMPCA,347.0
AICDA,MRPS34,347.0
AICDA,MFF,347.0
AICDA,GCC2,347.0
AICDA,ENTR1,347.0
AICDA,EME2,347.0
AICDA,RPL8,346.0
AICDA,RPL30,346.0
AICDA,POLL,346.0
AICDA,NOL10,346.0
AICDA,DPCD,346.0
AICDA,ADSL,346.0
AICDA,TMEM128,345.0
AICDA,SFI1,252.0
AICDA,GRPEL2,344.0
AICDA,PPIE,343.0
AICDA,LIG4,343.0
AICDA,EEF2K,343.0
AICDA,DHODH,343.0
AICDA,ATXN3,343.0
AICDA,YY1,342.0
AICDA,TXNL1,342.0
AICDA,MRPL27,342.0
AICDA,MPHOSPH10,342.0
AICDA,MCEE,342.0
AICDA,EME1,342.0
AICDA,MRPS23,341.0
AICDA,UQCRH,340.0
AICDA,TAF9,340.0
AICDA,RAD17,340.0
AICDA,LRRC41,340.0
AICDA,FAM120B,340.0
AICDA,AK6,340.0
AICDA,NCL,339.0
AICDA,KRIT1,339.0
AICDA,ANKIB1,339.0
AICDA,PIK3R4,338.0
AICDA,ANKRD42,337.0
AICDA,WDR27,336.0
AICDA,TAX1BP1,336.0
AICDA,HIST1H3B,216.0
AICDA,1600012H06RIK,336.0
AICDA,TXNL4B,335.0
AICDA,DHX38,335.0
AICDA,REXO4,334.0
AICDA,FAM83F,334.0
AICDA,UBE2Q1,333.0
AICDA,SRPR,333.0
AICDA,FOXRED1,333.0
AICDA,COX10,333.0
AICDA,WDR70,332.0
AICDA,TRMT1L,332.0
AICDA,TOB2,219.0
AICDA,SWT1,332.0
AICDA,WBP4,330.0
AICDA,ELF1,330.0
AICDA,TBP,329.0
AICDA,RPL37A,229.0
AICDA,CENPU,211.0
AICDA,CFAP20,328.0
AICDA,ATG12,326.0
AICDA,AP3S1,326.0
AICDA,CCPG1OS,325.0
AICDA,CCPG1,325.0
AICDA,WDR25,324.0
AICDA,WARS,324.0
AICDA,TIMM23,324.0
AICDA,SRD5A3,324.0
AICDA,PARG,324.0
AICDA,ATXN7L2,324.0
AICDA,ARL4A,324.0
AICDA,ACBD5,324.0
AICDA,CACYBP,323.0
AICDA,UBXN1,322.0
AICDA,MRPL33,322.0
AICDA,FBXO31,322.0
AICDA,ZFP846,321.0
AICDA,PPP4C,321.0
AICDA,MRPS31,214.0
AICDA,VPS52,320.0
AICDA,RPS18,320.0
AICDA,PPP1R35,318.0
AICDA,ZBTB17,317.0
AICDA,TGOLN2,317.0
AICDA,TGOLN1,317.0
AICDA,GTF2H3,317.0
AICDA,EIF2B1,317.0
AICDA,2410004B18RIK,317.0
AICDA,MAP2K5,316.0
AICDA,HIST1H2BB,225.0
AICDA,SDE2,315.0
AICDA,POMP,315.0
AICDA,DNAJB6,315.0
AICDA,MRPS35,314.0
AICDA,SASS6,312.0
AICDA,NECAP1,312.0
AICDA,HIST1H2BP,312.0
AICDA,HIST1H2AN,312.0
AICDA,ATP5K,312.0
AICDA,TMEM33,311.0
AICDA,HIST1H4D,204.0
AICDA,TRIP4,310.0
AICDA,ZFP780B,309.0
AICDA,PRMT5,309.0
AICDA,EIF3G,309.0
AICDA,MAPK6,308.0
AICDA,HIST1H2BL,308.0
AICDA,HIST1H2AI,308.0
AICDA,CSNK2A1,308.0
AICDA,0610010K14RIK,308.0
AICDA,ZBTB40,307.0
AICDA,WDR3,307.0
AICDA,HIST1H4K,307.0
AICDA,GDAP2,307.0
AICDA,CTNNA3,307.0
AICDA,HGS,306.0
AICDA,GID8,306.0
AICDA,DIDO1,306.0
AICDA,DHX16,306.0
AICDA,CMTM6,306.0
AICDA,ARL16,306.0
AICDA,AP1B1,306.0
AICDA,TNFAIP1,305.0
AICDA,IFT20,305.0
AICDA,DFFB,305.0
AICDA,CEP104,305.0
AICDA,AGO3,305.0
AICDA,PGAM5,303.0
AICDA,OTUD7B,303.0
AICDA,MARS,303.0
AICDA,MTHFR,302.0
AICDA,CLCN6,302.0
AICDA,4931408C20RIK,202.0
AICDA,QDPR,301.0
AICDA,OSBPL11,301.0
AICDA,LRRC51,301.0
AICDA,SUPT7L,300.0
AICDA,SLC4A1AP,300.0
AICDA,CITED2,300.0
AICDA,ZC3H13,299.0
AICDA,UTP20,299.0
AICDA,LRRIQ3,298.0
AICDA,ITGB3BP,298.0
AICDA,FPGT,298.0
AICDA,EFCAB7,298.0
AICDA,COX8A,298.0
AICDA,COG3,298.0
AICDA,TSNAX,297.0
AICDA,TIMM10B,297.0
AICDA,NCSTN,297.0
AICDA,HIST1H4N,224.0
AICDA,COPA,297.0
AICDA,ARFIP2,297.0
AICDA,TUFM,296.0
AICDA,PYGO2,296.0
AICDA,MDN1,296.0
AICDA,GPANK1,295.0
AICDA,ELOA,295.0
AICDA,CSNK2B,295.0
AICDA,DZIP3,294.0
AICDA,CIP2A,294.0
AICDA,ORC2,293.0
AICDA,ZFP513,292.0
AICDA,USMG5,292.0
AICDA,PDCD11,292.0
AICDA,INIP,292.0
AICDA,ZGPAT,290.0
AICDA,ARFRP1,290.0
AICDA,NEDD1,289.0
AICDA,TMEM223,288.0
AICDA,LARP4B,288.0
AICDA,DELE1,288.0
AICDA,C87436,288.0
AICDA,TTF1,286.0
AICDA,DDX19A,286.0
AICDA,CMTR2,286.0
AICDA,AI467606,144.0
AICDA,NATD1,285.0
AICDA,HIST1H3G,195.0
AICDA,1110038F14RIK,284.0
AICDA,ZFP408,283.0
AICDA,RAMAC,283.0
AICDA,RAD1,283.0
AICDA,BRIX1,283.0
AICDA,ARHGAP1,283.0
AICDA,RPL31,281.0
AICDA,NDUFA6,281.0
AICDA,MTERF1A,281.0
AICDA,MAP4K1,281.0
AICDA,EIF3K,281.0
AICDA,CALM2,182.0
AICDA,SEC22B,280.0
AICDA,PPM1G,280.0
AICDA,NOL6,280.0
AICDA,NOP2,278.0
AICDA,ILF2,278.0
AICDA,PRKAG1,277.0
AICDA,MTX2,277.0
AICDA,GM3448,277.0
AICDA,GM3417,277.0
AICDA,9030025P20RIK,277.0
AICDA,PSMB3,276.0
AICDA,GINS2,276.0
AICDA,BANP,114.0
AICDA,ZRANB2,275.0
AICDA,NUP155,275.0
AICDA,BRF2,275.0
AICDA,ARHGEF7,275.0
AICDA,ZFP622,274.0
AICDA,WASHC2,151.0
AICDA,TFB2M,274.0
AICDA,SUGCT,274.0
AICDA,RALA,274.0
AICDA,MPLKIP,274.0
AICDA,HCCS,274.0
AICDA,GM15246,274.0
AICDA,FRA10AC1,274.0
AICDA,EIF3C,274.0
AICDA,CNST,274.0
AICDA,ACBD6,274.0
AICDA,A130010J15RIK,274.0
AICDA,TTC33,273.0
AICDA,TIMM17A,273.0
AICDA,PLD3,273.0
AICDA,NUDT5,273.0
AICDA,MARS2,273.0
AICDA,KDM4D,273.0
AICDA,DYM,273.0
AICDA,CWC15,273.0
AICDA,COMMD2,273.0
AICDA,CDC123,273.0
AICDA,2310022A10RIK,273.0
AICDA,ZFP239,272.0
AICDA,MRPS33,272.0
AICDA,HASPIN,272.0
AICDA,CFAP97,272.0
AICDA,PARK7,270.0
AICDA,MKRN2,270.0
AICDA,LCORL,270.0
AICDA,POLG2,173.0
AICDA,CCDC91,269.0
AICDA,RPS6,268.0
AICDA,PCNP,205.0
AICDA,AKTIP,268.0
AICDA,ZBED4,267.0
AICDA,THOC5,267.0
AICDA,SNAPC4,267.0
AICDA,RBBP6,267.0
AICDA,ZFP407,266.0
AICDA,SPATA17,266.0
AICDA,RAC1,266.0
AICDA,GPATCH2,266.0
AICDA,CDC37,266.0
AICDA,RFNG,265.0
AICDA,MPZL3,265.0
AICDA,GPS1,265.0
AICDA,BRWD1,265.0
AICDA,ZFP655,264.0
AICDA,TNRC6C,264.0
AICDA,MORC2A,264.0
AICDA,HIST1H2BR,264.0
AICDA,HIST1H2BQ,264.0
AICDA,HIST1H2BA,185.0
AICDA,HIST1H2AP,264.0
AICDA,HIST1H2AO,264.0
AICDA,HIST1H2AA,185.0
AICDA,EIF3H,264.0
AICDA,ZFP512,263.0
AICDA,SLC39A6,263.0
AICDA,PRKACB,263.0
AICDA,NDUFB3,263.0
AICDA,KAT5,263.0
AICDA,FAM126B,263.0
AICDA,ELP2,263.0
AICDA,RPL6,262.0
AICDA,PPP6C,262.0
AICDA,METTL3,262.0
AICDA,LOC102640673,135.0
AICDA,SFSWAP,261.0
AICDA,RPL36A,261.0
AICDA,WDR37,260.0
AICDA,UGGT1,260.0
AICDA,SF3B2,260.0
AICDA,PRPF38B,260.0
AICDA,POLR2J,260.0
AICDA,TRPM7,259.0
AICDA,MPHOSPH8,259.0
AICDA,HIST1H2BG,259.0
AICDA,HIST1H2AE,259.0
AICDA,GPATCH4,259.0
AICDA,SELENOK,258.0
AICDA,POLR3E,258.0
AICDA,ZDHHC7,257.0
AICDA,SHMT1,257.0
AICDA,PIH1D2,257.0
AICDA,NKAPD1,257.0
AICDA,LTV1,257.0
AICDA,HIST1H4F,257.0
AICDA,RIC8A,256.0
AICDA,MOB2,256.0
AICDA,BET1L,256.0
AICDA,TSR3,255.0
AICDA,TPP2,255.0
AICDA,SFT2D3,255.0
AICDA,HIST1H3I,168.0
AICDA,GNPTG,255.0
AICDA,XRCC4,254.0
AICDA,TRMT10A,254.0
AICDA,TMEM167,254.0
AICDA,MTTP,254.0
AICDA,GINS4,254.0
AICDA,HERPUD2,253.0
