Gene1	Gene2	EdgeWeight
BRWD1	ZEB1	0.006848765
SLC46A3	RTKN2	0.0068481755
HNRNPD	TRIM33	0.006847823
FXR1	CAMK2D	0.0068476475
RBPJ	CAMK2D	0.0068395734
TEX10	ZEB1	0.0068384637
PIK3R5	POU2AF1	0.0068348832
VPS13C	ZEB1	0.0068313917
WDFY1	NFIA	0.006819956
NEDD9	MEIS1	0.006818233
GYPE	RTKN2	0.0068026516
HNRNPK	POU2F1	0.0067960913
CUL1	ZEB1	0.0067876405
YAF2	MAP4K3	0.0067851744
NAA15	ZEB1	0.0067823906
FXR1	TRIM33	0.006773194
KDM6A	ZEB1	0.006770204
DNMT3A	ZEB1	0.0067658518
ASXL1	CAMK2D	0.0067649125
SFRP2	TRERF1	0.0067628077
ATRX	MAP4K3	0.006759312
FXR1	HELZ	0.0067587486
ZNF589	ZEB1	0.0067572254
YAF2	POU2F1	0.006755795
LGR5	PER3	0.0067556016
CCDC81	TRERF1	0.006747167
NDC80	RTKN2	0.006745509
SMARCC1	NFIA	0.0067385137
KLF6	HELZ	0.006738114
EEF1A1	CAMK2D	0.0067359274
ZNF512	ZEB1	0.006731844
TLE3	PELI2	0.006726034
TCF19	RTKN2	0.006724261
MIA3	ZEB1	0.006721459
COMMD10	NFIA	0.006714926
NEDD9	PHF21A	0.006712433
ANXA3	TRERF1	0.006712162
ZNF239	RTKN2	0.0067118146
SENP7	ZEB1	0.006709884
TADA1	ZEB1	0.0067040147
PDLIM3	RTKN2	0.0067005316
SFPQ	MAP4K3	0.0066935546
CHEK2	RTKN2	0.0066842516
EPB41L3	CAMK2D	0.0066828663
SEMA5A	MEIS1	0.0066800094
VHL	NFIA	0.0066757076
DLGAP5	RTKN2	0.006673918
CUX1	NFIA	0.0066734026
SUPT7L	ZEB1	0.00667335
CA2	KIF15	0.0066693686
CSRP2	MEIS1	0.0066693337
ZRANB2	POU2F1	0.006668696
RNF14	ZEB1	0.0066631953
CBFA2T2	NFIA	0.0066469624
TMEM131	ZEB1	0.0066424813
DAAM1	MAP4K3	0.0066306684
TRAF6	ZEB1	0.006624708
GLIPR2	MEIS1	0.0066228737
CSDE1	MAP4K3	0.006621363
RAB31	NCAPG	0.0066194143
HNRNPK	TRIM33	0.0066190157
RPE	ZEB1	0.0066158106
FUS	MAP4K3	0.0066148657
HNRNPD	HELZ	0.006610792
HNRNPK	MAP4K3	0.006607472
ETV7	RTKN2	0.006606823
PSIP1	CAMK2D	0.00660007
SF1	MAP4K3	0.0065883696
BLM	NCAPG	0.0065794014
WDR35	ZEB1	0.0065784184
ZNF30	RTKN2	0.0065781567
NEDD9	NFIA	0.006576258
RBMX	CAMK2D	0.0065754647
TRIP13	RTKN2	0.0065725837
TIPARP	RFC3	0.0065723145
COMMD10	MEIS2	0.0065712584
PIK3R5	RFPL2	0.006570337
HAND2	TRERF1	0.006558757
RNF19A	MAP4K3	0.006555391
SFPQ	HELZ	0.00655223
RBPJ	MAP4K3	0.006550958
AFF4	CAMK2D	0.0065467716
XRCC5	MAP4K3	0.006545365
CTNNB1	MAP4K3	0.006542708
MRS2	ZEB1	0.0065219477
SMAD2	ZEB1	0.0065135327
CEP290	ZEB1	0.006510028
PREPL	POU2F1	0.0065069254
SF1	TRIM33	0.0065065594
AFF4	POU2F1	0.006496978
SMG6	ZEB1	0.006490894
TIPARP	RTKN2	0.006489214
NR0B1	TRERF1	0.006485612
ERCC6L	EXO1	0.006484711
FXR1	SMAD2	0.0064811762
SUPT7L	NFIA	0.006480107
KLF6	SMAD2	0.0064784195
CBX3	CAMK2D	0.0064764093
GLMN	ZEB1	0.0064729373
RAD51	RTKN2	0.006472873
CHAF1A	RTKN2	0.006466336
HIF1A	NFIA	0.006454808
KAT6A	ZEB1	0.00645231
RHAG	TRERF1	0.006450945
FUS	HELZ	0.0064506372
CLDN10	TRERF1	0.006444486
BRWD1	NFIA	0.0064405734
FOXP1	MAP4K3	0.0064353608
CSDE1	CAMK2D	0.006432548
CD9	NFIA	0.0064248606
AFF4	HELZ	0.006421186
YBX1	CAMK2D	0.0064198575
JUND	HELZ	0.006417179
SLC39A11	RTKN2	0.006416546
TRUB1	ZEB1	0.0064126696
SF1	POU2F1	0.0064116875
AGPAT5	NFIA	0.006411404
ZKSCAN1	ZEB1	0.006407055
BMP4	MEIS1	0.0064047924
KLF5	CAMK2D	0.0063937637
PDLIM3	PER3	0.006383907
ARL4D	PER3	0.006383328
GYPB	RTKN2	0.0063832733
PMAIP1	PELI2	0.0063826465
RAB31	TTK	0.006382494
RNF19A	POU2F1	0.0063757575
HLA-DQB1	BUB1B	0.006375454
ELL2	MAP4K3	0.0063739307
ABLIM1	ZEB1	0.00637196
YAF2	HELZ	0.0063718273
ZNF280B	RTKN2	0.006368282
RBPJ	HELZ	0.0063675405
SMARCC1	MAP4K3	0.006362132
CBR1	RTKN2	0.006358914
ANKRD50	NFIA	0.006358446
KLHL6	NCAPG	0.0063535026
PDCD4	POU2F1	0.006351766
TEAD4	PELI2	0.006348976
PDCD4	CAMK2D	0.0063486733
ARID4B	NFIA	0.006346745
ABLIM1	NFIA	0.006345412
REV3L	CAMK2D	0.0063443375
MED14	ZEB1	0.00634372
PSIP1	POU2F1	0.0063433545
ASS1	PER3	0.006340222
MAGI3	ZEB1	0.0063303253
AGPAT5	ZEB1	0.006328121
POLR1A	ZEB1	0.0063278656
FUBP1	ZEB1	0.0063277488
STAT2	NFIA	0.0063233376
DUSP4	RTKN2	0.0063227294
XRCC5	HELZ	0.0063158926
KIF23	RTKN2	0.0063151126
ATP11B	ZEB1	0.006311542
REV3L	MAP4K3	0.006308989
BTBD10	ZEB1	0.006307331
BHLHE40	PELI2	0.006301805
LGALSL	PELI2	0.006299746
CPVL	RTKN2	0.006299161
SFRP2	PER3	0.0062959003
DAAM1	ZEB1	0.0062958975
KLHL28	ZEB1	0.0062939352
DNA2	TTK	0.006292769
SFRP2	RTKN2	0.0062920204
KLF6	TRAPPC8	0.0062910253
ATRX	POU2F1	0.00629032
SMARCC1	ZEB1	0.0062867496
PRPS2	NFIA	0.0062863696
XRCC5	POU2F1	0.0062851277
FUS	POU2F1	0.0062842956
ELL2	HELZ	0.006284113
FXR1	TRAPPC8	0.006283587
BAG3	RFC3	0.006281034
PRPS2	MEIS1	0.0062805405
KLHL6	TTK	0.006279381
CSDE1	TRIM33	0.0062755886
MME	RTKN2	0.0062748566
SP100	NFIA	0.0062732263
KLHL12	NFIA	0.0062720506
HIF1A	HELZ	0.006268928
HLA-DQB1	NCAPG	0.006268403
BMP4	TRERF1	0.006262933
CA2	SKA3	0.006260124
POLR1B	ZEB1	0.006252085
ZNF512	RTKN2	0.006250923
SLCO2A1	PER3	0.0062480974
FUS	TRIM33	0.006246078
APBB2	CAMK2D	0.00623898
SLCO2A1	TRERF1	0.006235928
MCCC1	ZEB1	0.0062354254
XRCC5	CAMK2D	0.0062350086
PREPL	MAP4K3	0.0062328805
CTBP1	CAMK2D	0.0062282817
RBFOX2	MAP4K3	0.0062246467
RNF19A	HELZ	0.0062224306
FBXO34	MAP4K3	0.006222135
SNX14	ZEB1	0.0062190145
POU2F1	ZEB1	0.0062184692
MDM4	ZEB1	0.006218419
SF1	SMAD2	0.006215158
TGFB1I1	RTKN2	0.006211584
HNRNPK	HELZ	0.00620738
ZRANB2	MAP4K3	0.006202725
TPD52	POU2F1	0.0062020235
HIF1A	MAP4K3	0.006200244
ELL2	POU2F1	0.006199787
ATG4C	MEIS2	0.006198343
DEPDC1B	RTKN2	0.0061973827
RMI1	ZEB1	0.0061960816
TPD52	MAP4K3	0.006195813
PIK3R5	GSC	0.006191964
PDCD4	HELZ	0.006191953
PNPLA8	MAP4K3	0.006185406
PALLD	HELZ	0.006184388
SNAI2	PER3	0.0061816364
NEDD9	PER3	0.0061804014
BCLAF1	MAP4K3	0.0061803167
MAFF	RFC3	0.00617886
SMARCC1	HELZ	0.006178829
PREPL	CAMK2D	0.0061787213
ATRX	CAMK2D	0.0061779716
ALG6	ZEB1	0.006177011
XRCC5	TRIM33	0.006176986
JMJD1C	MAP4K3	0.0061767045
CTNNB1	HELZ	0.006174828
ELK3	PELI2	0.006173961
RBFOX2	CAMK2D	0.006167398
MBIP	ZEB1	0.0061648022
FOXK1	ZEB1	0.006164156
ZRANB2	CAMK2D	0.0061613065
KIAA1109	ZEB1	0.006160675
PNPLA8	CAMK2D	0.0061566005
CSDE1	HELZ	0.00615659
VHL	ZEB1	0.0061554033
CUL1	NFIA	0.0061541162
FAM117B	MEIS2	0.0061540897
ANKRD50	ZEB1	0.006151196
ASXL1	MAP4K3	0.0061488436
FOXP1	CAMK2D	0.006146886
ATRX	HELZ	0.0061446736
PALLD	MAP4K3	0.0061444
AFF4	TRIM33	0.006143344
BLM	BUB1B	0.006141952
NFKBIA	NFIA	0.006140125
ENO1	CAMK2D	0.0061380295
RHAG	PER3	0.0061366376
IFI16	PELI2	0.0061354097
PDCD4	MAP4K3	0.006134569
TRIM2	ZEB1	0.0061339703
FBXO5	RTKN2	0.006132602
NCAPG	RTKN2	0.006130384
ZEB1	CAMK2D	0.0061295037
VAMP7	ZEB1	0.006129372
COMMD10	ESRRG	0.0061197034
PALLD	CAMK2D	0.006118154
SF1	HELZ	0.0061180145
SMAD5	ZEB1	0.0061160913
RARG	TRERF1	0.006115347
KLHL6	BUB1B	0.0061134715
FUBP1	NFIA	0.006113204
EXO1	ERCC6L	0.0061106286
RBBP4	MAP4K3	0.006109679
FER	ZEB1	0.006109485
XRCC6	MAP4K3	0.0061054695
RAI14	NFIA	0.0061038006
CLGN	TTK	0.0061022053
TRAPPC8	MEIS2	0.0061019557
ANXA3	PER3	0.0061011044
PNPLA8	POU2F1	0.006099367
BLM	NDC80	0.0060966695
KAT7	ESRRG	0.006095703
SMAD5	MLLT3	0.0060944646
BCLAF1	POU2F1	0.006092561
ASXL1	POU2F1	0.006092145
B3GNT5	PELI2	0.006091668
PDCD4	SMAD2	0.006088486
RPP40	RTKN2	0.006088117
CPE	MAP4K3	0.0060876925
PNPLA8	SMAD2	0.006086333
PRKACB	MLLT3	0.0060826554
XRN1	NFIA	0.006082433
FARSB	MLLT3	0.0060819993
GLIPR2	PER3	0.006081069
ERCC6L	TRERF1	0.006077127
AFF1	ZEB1	0.006076468
PARN	MEIS2	0.0060692616
TRIP11	ZEB1	0.0060657742
ARL4D	TRERF1	0.0060645333
RAVER2	ZEB1	0.006064508
E2F7	RTKN2	0.0060644853
CAMK2D	MAP4K3	0.006063735
ANKRD28	CAMK2D	0.006062861
RNF19A	TRIM33	0.0060585244
STAT3	MAP4K3	0.006057214
WWP1	ZEB1	0.0060562473
CRHBP	RTKN2	0.0060530654
JUND	TRAPPC8	0.006050689
MIA3	NFIA	0.0060473103
HDGF	CAMK2D	0.006046879
MAP3K2	MAP4K3	0.0060437187
FOXN3	CAMK2D	0.0060436972
ZBTB38	MAP4K3	0.0060433056
TEAD4	PER3	0.0060422095
SH3BGRL	HELZ	0.006037015
FAM117B	ESRRG	0.006036275
RAD51	NCAPG	0.0060353437
TIMP3	RTKN2	0.006034745
KLF5	PELI2	0.0060323076
HNRNPD	SMAD2	0.0060310406
RBMX	MAP4K3	0.006030929
CEP85L	NFIA	0.006029683
CBFA2T2	MEIS2	0.006028036
NFKBIA	CAMK2D	0.00602738
PRKACB	MAP4K3	0.0060266308
PDLIM3	MEIS1	0.0060218954
HLA-DRB1	NCAPG	0.0060150567
VAMP7	NFIA	0.006014994
BARX2	TRERF1	0.0060147196
VIM	CAMK2D	0.006014222
NAA15	NFIA	0.0060140174
APBB2	MAP4K3	0.0060139243
SH3BGRL	MAP4K3	0.0060137263
CNTRL	ZEB1	0.00601232
ZFYVE16	ZEB1	0.0060119536
RNF14	NFIA	0.0060108528
GYPA	RTKN2	0.0060107852
RBPJ	TRIM33	0.0060099587
LGR5	RFPL2	0.006008425
RUVBL1	NFIA	0.006007849
ASB4	SKA3	0.006003068
AGL	ZEB1	0.006002928
E2F3	ZEB1	0.0060005295
GLRX	NCAPG	0.0060003945
TIMP3	NFIA	0.005998723
WDR3	ZEB1	0.005997912
HLA-DQB1	TTK	0.005997712
RBBP4	HELZ	0.0059975213
KAT7	NFIA	0.0059946743
ZNF24	NFIA	0.005993019
RAB31	BUB1B	0.005991473
CUX1	MAP4K3	0.0059912293
NFAT5	NFIA	0.0059909206
YAF2	SMAD2	0.0059891157
ZRANB2	HELZ	0.005987768
RBFOX2	HELZ	0.005987623
FOXP1	POU2F1	0.00598616
ZRANB2	TRIM33	0.005980769
TNFRSF11B	ARID5B	0.0059807175
ACOX3	RTKN2	0.0059798807
SRSF10	CAMK2D	0.00597969
STIM2	ZEB1	0.005978326
ZNF165	PELI2	0.005977011
APOBEC3G	RTKN2	0.0059741936
ETV3	RTKN2	0.0059733666
YAF2	TRIM33	0.005970589
KLHL12	RTKN2	0.0059676133
ERCC6L	TTK	0.005959771
NOL11	ZEB1	0.005959082
HEG1	RTKN2	0.005958313
JUND	CUL1	0.005955925
CUX1	CAMK2D	0.00595551
UHRF1	RTKN2	0.0059548
SRSF10	MAP4K3	0.005952837
EPB41L3	MAP4K3	0.005952493
KLF5	MAP4K3	0.005951557
PELI2	ZEB1	0.005951268
TCEA1	CAMK2D	0.0059477384
ELMOD2	MEIS2	0.005947703
KLHL24	ZEB1	0.0059471126
SMARCC1	CAMK2D	0.0059466115
ATRX	TRIM33	0.0059439405
GYPE	TTK	0.0059434655
CA2	DEPDC1B	0.005941274
JMJD1C	CAMK2D	0.0059395283
PSIP1	MAP4K3	0.005939042
PIP4K2A	ZEB1	0.0059335786
LPGAT1	ZEB1	0.0059334175
BAMBI	PELI2	0.0059324456
UTP15	ZEB1	0.00593078
SRSF3	CAMK2D	0.0059302575
BCL11A	MLLT3	0.005929182
KLF6	NFIA	0.0059284056
ILF3	MAP4K3	0.005927783
NFAT5	ZEB1	0.005926349
XRCC6	CAMK2D	0.005926227
RBMX	HELZ	0.005926012
FOXP1	HELZ	0.005925303
ATP11B	MAP4K3	0.005922699
CUX1	ZEB1	0.0059213224
ANKRD50	MEIS1	0.0059207072
ZFYVE16	MAP4K3	0.0059184986
EXO1	TRERF1	0.005918483
TRIP13	MEIS1	0.005917623
ELL2	TRIM33	0.00591191
KLHL28	NFIA	0.0059075193
SEMA5A	LIMCH1	0.0059066913
CENPK	RTKN2	0.0059051663
ELL2	SMAD2	0.0059047393
SFPQ	SMAD2	0.0059007886
SNAI2	TRERF1	0.005900485
PPARA	RTKN2	0.0058993218
RBMX	TRIM33	0.0058989883
LGR4	MAP4K3	0.0058981813
FEZ1	NFIA	0.0058980254
POLB	RTKN2	0.0058939457
AFF4	ZEB1	0.0058929226
CCDC82	ZEB1	0.0058916043
ANKMY2	ZEB1	0.0058915024
ERCC6L	PER3	0.0058905995
RBMX	POU2F1	0.005888794
TRAPPC8	NFIA	0.005887996
ANKRD50	MEIS2	0.0058878977
SLC6A15	ZEB1	0.005886684
SMAD5	MAP4K3	0.0058866097
ASH2L	ZEB1	0.0058833268
BCLAF1	CAMK2D	0.005882596
KLF6	POU2F1	0.005881533
EPB41L3	POU2F1	0.005879569
FARSB	MAP4K3	0.0058789034
SPIB	NCAPG	0.0058777747
VPS54	ZEB1	0.0058777723
ACTC1	RTKN2	0.0058744275
ASXL1	HELZ	0.0058743954
SH3BGRL	CAMK2D	0.005874395
PPARGC1B	RTKN2	0.0058717444
ARID4B	MAP4K3	0.005870781
HNRNPK	SMAD2	0.00586915
SMARCC1	MLLT3	0.0058671143
TRIM33	MAP4K3	0.0058636973
ETV7	EXO1	0.005859546
PDLIM3	TRERF1	0.0058573578
FBXO34	ZEB1	0.0058572884
PBX1	CAMK2D	0.0058563664
CTNNB1	POU2F1	0.0058540506
TCOF1	RTKN2	0.0058514834
KLF6	CUL1	0.0058514816
BLM	EXO1	0.0058502364
TTN	ZEB1	0.0058480315
RAD51AP1	RTKN2	0.005846604
CSDE1	SMAD2	0.005846489
CAP2	ZEB1	0.005845146
HELZ	ZEB1	0.0058439956
ILF3	CAMK2D	0.0058409222
BCL11A	ZEB1	0.00584049
LGR4	HELZ	0.005839497
CCND1	NFIA	0.0058388286
FST	TRERF1	0.0058380193
AFF1	MLLT3	0.0058375304
ANKRD13C	NFIA	0.0058365944
TRIM33	ZEB1	0.005836299
SEMA5A	NFIA	0.0058324016
CBX3	MAP4K3	0.0058307974
ZNF142	RTKN2	0.005830675
KLHL6	NDC80	0.005829492
TCEA1	MAP4K3	0.0058286083
ARID4B	ZEB1	0.0058285818
FOXN3	MAP4K3	0.0058279717
KLHL12	MEIS2	0.0058275596
NR0B1	PELI2	0.005827337
COMMD10	PHF21A	0.0058265007
AFF4	NFIA	0.0058209198
NEDD9	RTKN2	0.005819122
KAT7	MEIS1	0.0058187796
CAMK2D	NFIA	0.0058186185
CLDN10	MEIS1	0.0058178897
SRSF10	HELZ	0.0058144927
DECR1	RTKN2	0.005813661
WDFY1	MEIS2	0.005813174
CBFA2T2	MLLT3	0.00581193
PALLD	SMAD2	0.005811566
ELL2	CAMK2D	0.005809427
SMAD2	NFIA	0.0058079627
CBX3	POU2F1	0.005807547
PRKACB	CAMK2D	0.0058071744
POU3F1	LIMD1	0.0058051427
JMJD1C	HELZ	0.005804315
PPP1R9A	MEIS2	0.0058022095
CTNNB1	CAMK2D	0.0058016125
PHC1	ZEB1	0.0058012228
TRIM2	MAP4K3	0.0058011916
TRIP13	PER3	0.005800764
RND3	CAMK2D	0.005799736
REV3L	POU2F1	0.005799734
XRCC6	POU2F1	0.0057980614
RBPJ	POU2F1	0.005797286
UTP18	NFIA	0.005796841
ATG4C	ESRRG	0.005795619
FBXO34	NFIA	0.0057953265
SLCO2A1	MEIS1	0.0057952157
NR2C1	NFIA	0.005793312
PARN	ESRRG	0.0057931235
NOL11	NFIA	0.005791119
CDCA2	RTKN2	0.0057907854
PHF21A	MAP4K3	0.005790426
ABLIM1	MLLT3	0.005790386
GLIPR2	LEF1	0.0057883766
RFC3	RTKN2	0.005787365
NRIP1	CAMK2D	0.0057863398
NFATC3	MEIS2	0.005783129
FAM135A	MLLT3	0.005781675
PDCD4	TRIM33	0.0057811984
MRPL1	MAP4K3	0.005779099
APEX1	RTKN2	0.005778441
RNF13	MAP4K3	0.0057779094
SNAPC3	MLLT3	0.005777266
KLF5	TRIM33	0.0057759555
HESX1	RTKN2	0.005774672
POLB	MEIS1	0.0057739206
PLAU	PELI2	0.00577355
TLE3	NFIA	0.0057723704
PNPLA8	HELZ	0.0057705888
TRIP11	NFIA	0.005769147
BRWD1	MLLT3	0.0057672877
MAP3K2	POU2F1	0.005767059
DNA2	EXO1	0.0057665
TCEA1	POU2F1	0.0057661342
KLHL12	MEIS1	0.005766091
SRSF10	TRIM33	0.005765713
ZNF107	RTKN2	0.0057650297
ANKRD13C	MLLT3	0.0057639396
ANKRD13C	MEIS2	0.005763882
ARID4B	CAMK2D	0.0057628728
PSIP1	TRIM33	0.0057627396
SYNE2	ZEB1	0.0057602767
TTC27	MEIS2	0.005759238
KLF5	SMAD2	0.0057564965
CLGN	NCAPG	0.005756168
MAP3K2	CAMK2D	0.005754815
STIM2	NFIA	0.0057525453
SLCO2A1	LEF1	0.00575253
ZKSCAN1	NFIA	0.0057518603
YAF2	MLLT3	0.005749955
BAG3	PELI2	0.005749722
BRWD1	MAP4K3	0.0057481346
PNPLA8	TRIM33	0.005745863
KLF5	POU2F1	0.005744953
YBX1	POU2F1	0.0057442533
MRPL1	CAMK2D	0.0057437997
RNF19A	SMAD2	0.0057426076
CLGN	BUB1B	0.005741462
APC	MLLT3	0.005739637
VPS13C	NFIA	0.0057373024
CCPG1	CAMK2D	0.0057363543
SH3RF1	MAP4K3	0.0057361675
PPP1R9A	MLLT3	0.0057357596
FST	RTKN2	0.0057330397
ZNF471	ZEB1	0.0057328325
MRPL1	POU2F1	0.005732006
SRSF2	CAMK2D	0.0057319286
ZFYVE16	HELZ	0.0057295063
ZNF587	ZEB1	0.0057291165
DAAM1	MLLT3	0.0057290155
MFAP4	NCAPG	0.0057285507
OTUD6B	ZEB1	0.0057284166
PALLD	TRIM33	0.0057260217
CDC7	NDC80	0.0057254145
NR2C1	MEIS2	0.005723919
BAG3	NCAPG	0.005723686
XRCC6	TRIM33	0.005721772
HLA-DQB1	NDC80	0.005721024
PRKACB	POU2F1	0.005720994
TCF4	CAMK2D	0.00572052
RAD51	BUB1B	0.005720169
TFDP1	MAP4K3	0.005719798
SMARCC1	POU2F1	0.00571554
ASS1	TRERF1	0.005715505
YAF2	CAP2	0.0057119476
HDGF	MAP4K3	0.0057092695
TRIP11	MAP4K3	0.005708606
NRIP1	MAP4K3	0.00570642
ELMOD2	ESRRG	0.0057063396
MAP3K2	ZEB1	0.0057055666
FBXO34	CAMK2D	0.005704204
TIPARP	PELI2	0.005702662
DEK	CAMK2D	0.0057017207
TPD52	SMAD2	0.0057016597
CCDC138	ZEB1	0.0056996886
FXR1	CAP2	0.005695299
ZBTB38	CAMK2D	0.0056948746
MKI67IP	ZEB1	0.0056938916
POU2F1	NFIA	0.0056932797
SRSF3	MAP4K3	0.0056924904
FXR1	ATP11B	0.005688302
RORB	RTKN2	0.00568705
DNA2	BUB1B	0.005686619
RAB31	NDC80	0.005685772
FXR1	CUL1	0.005685483
EGR1	CAMK2D	0.005683357
XRN1	MEIS2	0.005679839
RNF13	ZEB1	0.005679123
TDRD7	ZEB1	0.0056782197
SRSF10	POU2F1	0.005677691
YPEL5	CAMK2D	0.0056766532
ARL4D	MEIS1	0.0056764293
FBN1	POU2F1	0.005676389
UTP18	ZEB1	0.0056755254
ASXL1	TRIM33	0.00567466
SMAD5	NFIA	0.005674594
ZNF202	RTKN2	0.0056737475
SRSF3	TRIM33	0.005673418
RBBP4	TRIM33	0.005672879
DNAAF2	PELI2	0.005672876
WDHD1	ZEB1	0.005672278
CDC7	TTK	0.005671843
STAT3	HELZ	0.005671537
FOXP1	TRIM33	0.0056679375
BARX2	ARID5B	0.00566759
CSDE1	TRAPPC8	0.00566693
SLC39A11	ZEB1	0.0056668012
TRAPPC8	ESRRG	0.0056667877
NCOA6	ESRRG	0.0056657726
APEX1	RFC3	0.00566556
AGPAT5	MLLT3	0.0056649973
ENO1	TRIM33	0.0056649833
HPRT1	NFIA	0.005662144
RIOK1	NFIA	0.0056619844
CAP2	MLLT3	0.0056602703
LRRCC1	EXO1	0.0056594093
HLA-DQB1	EXO1	0.0056587276
AFF4	MLLT3	0.005658314
MAFF	RTKN2	0.005657243
FUBP1	MAP4K3	0.0056563234
JUND	CAP2	0.0056560743
DPYSL3	MAP4K3	0.005655599
POLR1B	RTKN2	0.005652374
ANKRD26	ZEB1	0.0056512947
FAM117B	MLLT3	0.0056511457
ETV4	RTKN2	0.0056497175
BRWD1	CAMK2D	0.005647676
DPF2	NFIA	0.0056465906
ABLIM1	MAP4K3	0.0056447266
RPE	MEIS2	0.0056440206
ELL2	KDM6A	0.005640754
MDM4	NFIA	0.005640295
