cellType	geneMarker
Adipose multilineage-differentiating stress-enduring cell	CD105,CD90,EGLN,ENG,SSEA-3,THY1
Adipose progenitor cell	CD29,DLK1,ITB1,ITGB1
Adipose-derived stem cell	5NTD,AMPN,ANPEP,c-Kit,c-Myc,CADH5,CD10,CD105,CD106,CD11a,CD11c,CD13,CD14,CD141,CD142,CD144,CD146,CD200,CD271,CD29,CD31,CD34,CD44,CD45,CD49a,CD49d,CD54,CD55,CD59,CD71,CD73,CD9,CD90,CDH5,DAF,EGLN,ENG,F3,HLA-ABC,HLA-ABC family,ICAM1,ITA1,ITA4,ITAL,ITAX,ITB1,ITGA1,ITGA4,ITGAL,ITGAX,ITGB1,KIT,KLF4,MCAM,MME,MUC18,MYC,NANOG,NEP,NES,NEST,Nestin,NGFR,NT5E,OCT4,OX2G,PDGFR,PDGFRB,PECA1,PECAM1,PGFRB,PO5F1,POU5F1,PTPRC,SOX2,TF,TFR1,TFRC,THBD,THY1,TNR16,TRBM,VCAM1
Adipose-derived stromal cell	5NTD,ALCAM,AMPN,ANPEP,c-Myc,CADH5,CD10,CD105,CD106,CD13,CD141,CD142,CD144,CD166,CD200,CD29,CD31,CD34,CD44,CD45,CD71,CD73,CD90,CDH5,DLK1,EGLN,ENG,F3,ITB1,ITGB1,KLF4,MME,MYC,NANOG,NEP,NT5E,OCT4,OX2G,PECA1,PECAM1,PO5F1,POU5F1,PTPRC,SOX2,TF,TFR1,TFRC,THBD,THY1,TRBM,VCAM1
Adrenergic neurons	AADC,DBH,DBM,DDC,DKFZP434F076,DYT5b,FMRFAL,KCC4,NPFF,PENT,PNMT,SLC12A7,SLC18A2,SVAT,SVMT,SVP65,SYT1,TH,VMAT2
Adventitial cell	5NTD,CD105,CD31,CD34,CD44,CD45,CD56,CD73,CD90,CSPG4,EGLN,ENG,NCAM1,NG2,NT5E,PECA1,PECAM1,PTPRC,THY1
Airway epithelial cell	ADH-4,ADH7,AQP1,CD324,CDH1,CHIP28,CO,SEC14L3,TAP2,UVO,uvomorulin
Airway goblet cell	AGR2,AQP5,bA375E1.3,BGP,BGP1,CBR2,CD66a,CDA-II,CDAII,CDAN2,CEACAM1,DCPP1,DCPP2,DCPP3,DMBT1,DUSP4,FLJ14303,FLJ14408,FXYD3,GalNAc-T5,GalNAc-T6,GALNT5,GALNT6,GGH,GOLPH3,GOPP1,Gp-340,GP2,GP340,GPP34,HAG-2,HEMPAS,hensin,HIN-1,HIN1,HLF2,HVH2,KIAA1359,LIPF,LTF,LU105,MAT-8,MG1,MIDAS,MKP-2,MPF,MSLN,MUC16,MUC20,MUC4,MUC5AC,MUC5B,muclin,PDEF,PDIA17,PIGR,PLML,PnSP-2,QSCN6,QSOX1,SALSA,SCGB3A1,SEC23B,SML1,SPDEF,TFF2,TYP,UGRP2,vomeroglandin,Vps74,WFDC18,XAG-2,ZAP75
Airway secretory cell	AQP3,MUC5A,MUC5AC,MUC5B,PIGR,SCGB1A1,UTER
Airway smooth muscle cell	ACTA2,ACTSA,bB379O24.1,FKHL5,FOXF1,FREAC1,GATA5,GATAS,NOG,SYNS1
Alpha cell	5HT1F,AA2AR,AC018865.8,AC140481.1,ADORA2A,AF1Q,ARRD4,ARRDC4,ARX,ASPH,ASXL3,ATG7,ATL2,ATLA2,BAZ2B,BSCL2,C11orf24,C18orf42,C19orf77,C21orf58,C4orf29,CAMK2G,CD36,CDS2,CERCAM,CK024,CLIM1,CLU,CLUS,CRBA2,CRYBA2,CTA-246H3.8,CU058,DHB14,DPP4,EGFEM,EGFEM1P,EGFL7,ELL2,EPG5,EPHX2,ETFD,ETFDH,F10,F110B,FA10,FA46A,FA84A,FADS2,FAM110B,FAM178A,FAM46A,FAM84A,FAP,FEV,FGF12,FSTL5,FXYD5,GA45G,GADD45G,GBA,GC,GCG,GLCM,GLS,GLSK,GLUC,Glucagon,GP119,GPR119,GRIA3,GT253,HIG1A,HIGD1A,HMGB2,HMGB3,HNRNPA3,HPS1,HSD17B14,HTR1F,HYES,ILTMP,IMA7,IRX2,ITPK1,KCC2G,KCMA1,KCNMA1,KL,KLH41,KLHL41,KLOT,KPCE,KPNA6,KRP1,LDB2,LOXL4,MAFB,MBOA2,MBOAT2,MBPHL,MCLN3,MCOLN3,MLLT11,MRC1,MRC1L1,MYBPHL,MYOME,NAA20,NHP2L1,NHRF3,OGT,OGT1,PA216,PALLD,PDE4DIP,PDLI1,PDZK1,PE2R3,PGE2-R,PGR,PLA2G16,PLCE1,PLOD2,PMM1,PNISR,POPD3,POPDC3,PRGR,PRKCE,PTGER3,PTN2,PTPN2,RAB3C,RFX6,RGP4,RGPD4,RGS4,ROA3,RSAD2,S38A4,SEPR,SETD2,SGCZ,SLC38A4,SMARCA1,SMCA1,SORT,SORT1,SPATC1L,SPC1L,SPOCK3,SRBD1,SREK1,STAR3,STARD3,T4S4,TBC1D30,TBC30,TICN3,TM236,TM4SF4,TMCO3,TMEM236,TT39A,TTC39A,TTHY,TTR,UBA2,UBQL1,UBQLN1,UQCC1,VGF,VTDB,WDR37,YIPF2
Alveolar epithelial progenitor cell	Carboxypeptidase M,CBPM,CPM,T4S1,TM4SF1
Alveolar macrophages	18A2,42A,B94,bA541I19.1,BCL2A1B,BCL2A1D,betaGMR,BGLAP3,C11orf34,C19orf59,CAPL,CAR4,CCL3,CD11c,CD11C,CD131,CD206,CD282,CD36,CD369,CHIL3,CINC-2a,CLEC13D,CLEC13DL,CLEC7A,CLEC8A,CLECSF12,CSF2RB,CXCL2,dectin-1,DKFZp434G0522,DXS552E,EAR1,EAR2,EFP,EXOC3L3,G0S19-1,G0S2,GAL,GAL-GMAP,GALN,GDA,GLNN,GMAP,GNG9,GNGT2,GP3B,GP4,GPIV,GPNMB,GRO2,GROb,hDectin-1,HGFIN,IL-1B,IL1-BETA,IL1B,IL1F2,IL3RB,IL5RB,ITGAX,KLHDC4,LD78ALPHA,LOX-1,LYZ1,MARCO,MCEMP1,MGC132456,MGSA-b,MIP-1-alpha,MIP-2a,MPP1,MRC1,MRC1L1,NMB,OLR1,P9KA,PEL98,PEMP,PLET1,RNF147,S100A4,SCARA2,SCARB3,SCARE1,SCARE2,SCYA3,SCYB2,SIGLECF,SR-A6,TIL4,TLR2,TNFAIP2,TRIM25,WFDC21,ZNF147
Amacrine cell	CRABP1,CRABPI,RABP1
Amnion epithelial cell	NANOG,OCT3/4,PO5F1,POU5F1
Amniotic fluid stem cell	5NTD,CD105,CD44,CD73,CD90,EGLN,ENG,NT5E,THY1
Angiogenic T cell	CD3,CD31,CD3D,CD3E,CD3G,CXCR4,PECA1,PECAM1
Anterior foregut endoderm cell	Carboxypeptidase M,CBPM,CPM
Anterior pituitary gland cell	ACTH,AGA,Ang1,ANGPT1,ASB-4,ASB4,ASRG,BCH,BFT,Brx1,CGB4,CHGA,CPEB4,DDX26B,DKFZp761L1417,FGF10,FLJ14621,FLJ38683,FLJ42643,FLJ90517,FSHB,GH,GH-N,GH1,GHF-1,GHN,GMPPA,GNB3,GNRHR,GRHR,HEPACAM2,hGH-N,hLHB,HsT18676,Hup1,IGCD1,IGDC1,IGDS,IGSF1,IHG2,INHBP,IRID2,KIAA0003,KIAA0364,KIAA1673,LHB,LHRHR,LPH,LSH-B,MEST,MGC75490,NEC1,NEFA,NIAM,NKTR,NKX2-1,NKX2A,NPP,NUCB2,OPTX2,Otlx2,p104,PAX7,PC1,PCSK1,PEG1,PGSF2,PIT-1,PIT1,PITX1,PITX2,POC,POMC,POTX,POU1F1,POU1F1a,PRL,PSK-1,RAB27,RAB27A,RAX,RCN3,RGS,RIEG,RIEG1,RLP49,RX,SEZ6L2,SIX6,Six9,TB-5,TBRG1,TITF1,TMEM130,TRIM30B,TSHB,TTF-1,TTF1
Astrocyte	1A01,1B08,1C12,4F2,5NTD,AA2BR,AACT,AASS,ABAT,ABCA1,ABCD3,ABHD3,ACBG1,ACBP,ACOD,ACSBG1,ACSL6,ADCYAP1R1,ADD3,ADDG,ADGRB1,ADGRG1,ADORA2B,AF1Q,AGRB1,AGRG1,AGT,AIF1L,AK4,AL1L1,ALCAM,ALDH1L1,ALDH6A1,ALDOC,ALPL,ANGT,ANLN,ANOS1,ANXA5,APBB2,APOE,AQP4,ARHGEF26,ARHGQ,ARNTL,AT134,AT1A2,AT1B2,ATF3,ATP13A4,ATP1A2,ATP1B2,B2M,B2MG,B3GALTL,BAP29,BBOX1,BBS2,BC11A,BCAN,BCAP29,BCHE,BCL11A,BDH2,BEX1,BMAL1,BMP7,BMPR1B,BMR1B,BODG,BORG4,BORG5,BRINP3,BRNP3,BTBD17,BTBDH,BTG2,C16orf89,C1orf122,C1orf61,C2orf72,C3orf70,C5AR1,C8orf4,CA12,CA122,CAH12,CAMK2G,CASQ1,CAST1,CASTOR1,CATL1,CB072,CBPE,CBR1,CBS,CC070,CCD80,CCDC80,CD166,CD24,CD40,CD63,CD80,CD82,CD86,CD88,CD9,CDC42EP1,CDC42EP4,CGL,CHLE,CHRDL1,CHST9,CLD10,CLDN10,CLU,CLUS,CNN3,COMT,CP089,CP51A,CPE,CPNE5,CPVL,CRDL1,CROC4,CRYAB,CRYL1,CSPG5,CSRP2,CST3,CTH,CTSL,CXA1,CXCL14,CXL14,CYBR1,CYBRD1,CYP51A1,CYTC,DAG1,DAND5,DARS,DBI,DBX2,DCN,DCXR,DDAH1,DDR1,DGKG,DHB12,DHCR7,DHE3,DIO2,DKK3,DNAJB1,DNASE2,DNER,DNJB1,DNS2A,DOK5,DTNA,EAA1,EAA2,ECHB,EDNRB,EEPD1,EFEMP1,EFEMP2,EFHD2,EFNA1,EGLN3,ELAV4,ELAVL4,ELN,ELOV2,ELOV5,ELOVL2,ELOVL5,EMC2,ENHO,EPAS1,ERG24,ETBR2,ETV1,ETV5,EZR,EZRI,F107A,F181B,F263,F3,FA84B,FABP5,FABP7,FADS2,FAM107A,FAM181B,FAM84B,FAT1,FBLN2,FBLN3,FBLN4,FERM2,FERMT2,FGFR3,FLJ46906,FOS,FOSB,FRIH,FTH1,FXYD1,FXYD7,G137B,G6PC3,GA45B,GABRB1,GABT,GADD45B,GATM,GATSL3,GBG11,GBG12,GBG5,GBG7,GBRB1,GDN,GDPD2,GFAP,GHC2,GJA1,GLAST,GLI3,GLIS3,GLNA,GLT1,GLUD1,GLUL,Glutamine synthetase,GNG11,GNG12,GNG5,GNG7,GNPTG,GPC5B,GPM6B,GPR137B,GPR37L1,GPR75,GPRC5B,GPX3,GRAMD2B,GRAMD3,GRB14,GRIA1,GRM2B,GRM3,GULP1,H2AFZ,H2AZ,HADHB,HAPLN1,HAPLN3,HDAC2,HECAM,HEPACAM,HEPN1,HES1,HES4,HES5,HEY1,HGF,HIF1A,HIF3A,HLA-A,HLA-B,HLA-C,HLA-E,HLAE,HMCS1,HMGCS1,HN1,HNMT,HOP,HOPX,HPLN1,HPLN3,HSD17B12,HSPB1,HSPB8,HTRA1,I11RA,I27L1,IBP4,IBP7,IBPL1,ID1,ID2,ID4,IDI1,IER2,IFI27L1,IFITM3,IFM3,IGFBP4,IGFBP7,IGFBPL1,IKBA,IL11RA,IL33,IOD2,ITA7,ITAV,ITB4,ITGA7,ITGAV,ITGB4,ITM2C,ITPR2,JUN,JUNB,JUND,KAD4,KALM,KCC2G,KCIP2,KCJ10,KCNE5,KCNH7,KCNIP2,KCNJ10,KI21A,KIAA1161,KIF21A,KLD8A,KLHDC8A,L1CAM,LAMB2,LCAT,LEG1,LEG3,LEPROT,LG3BP,LGALS1,LGALS3,LGALS3BP,LGI1,LHFP,LHFPL6,LHPL6,LICH,LIFR,LINC00943,LINC00998,LINC01351,LIPA,LIPL,LITAF,LIX1,LPL,LR10B,LRC17,LRC3B,LRC8A,LRIG1,LRP4,LRRC10B,LRRC17,LRRC3B,LRRC8A,LRRN3,LRRT3,LRRTM3,LUZP2,LYN,LYPD1,MAFB,MAGT1,MASP1,MEIS1,MELT,MET7A,METTL7A,MFGE8,MFGM,MGLL,MLC1,MLLT11,MMD2,MMSA,MRC2,MSMO1,MT1E,MT1X,MT2,MT2A,MT3,MTDC,MTHFD2,MYO10,NANOG,NARR,NCAN,NDF6,NDRG2,NEUROD6,NFIA,NFKBIA,NHRF1,NHSL1,NK1R,NKAI4,NKAIN4,NLGN3,NOE2,NOG,NOTC2,NOTC3,NOTCH2,NOTCH3,NPNT,NRP1,NSG1,NT5E,NTRK2,NWD1,OAT,OBRG,OCAD2,OCIAD2,OLFM2,P2RY1,P3H4,P4HA1,PACR,PAPLN,PAQR6,PAQR8,PAQRA,PBIP1,PBXIP1,PCP,PDGFRB,PDLI3,PDLI5,PDLIM3,PDLIM5,PDPN,PEA15,PER1,PER1_HUMAN,PFKFB3,PGCB,PGFRB,PGS2,PHACTR2,PHAR2,PHGDH,PHIPL,PHYHIPL,PKHB1,PLAGL1,PLAL1,PLCD1,PLEC,PLEKHB1,PLIN3,PLM,PLPL3,PLTP,PMP22,PNPLA3,PON2,PP16A,PPAP2B,PPBT,PPN,PPP1R16A,PPP1R17,PPP1R3C,PPR17,PPR3C,PRCP,PREX1,PRLHR,PROD,PRODH,PRR5,PRRT2,PRS35,PRSS35,PSAP,PSAT1,PTMA,PTN,PTPRZ,PTPRZ1,PTTG,PTTG1IP,QKI,QORX,RAB31,RAB34,RAMP1,RAMP3,RAP1GAP,RASF4,RASL10A,RASSF4,RBFOX2,RCN1,RFOX2,RFX4,RGCC,RGMA,RGS20,RHOB,RHOC,RIT2,RND3,RNF43,ROBO3,RPGP1,RSLAA,RTN1,S100-B,S100-beta,S100A13,S100A16,S100B,S10AD,S10AG,S13A5,S15A2,S1PR1,S38A3,S39AB,S39AC,S4A4,SAP,SASH1,SATT,SBP1,SC65,SC6A1,SCD,SCG2,SCG3,SCRG1,SDC3,SE6L1,SELENBP1,SEM6A,SEM6D,SEMA6A,SEMA6D,SERA,SERC,SERPINA3,SERPINB6,SERPINE2,SEZ6L,SF3A1,SFXN5,SHISA4,SHPS1,SHSA4,SIAT2,SIRPA,SLC13A5,SLC14A1,SLC15A2,SLC1A2,SLC1A3,SLC1A4,SLC25A18,SLC30A10,SLC38A3,SLC39A11,SLC39A12,SLC3A2,SLC4A4,SLC6A1,SLC9A3R1,SLCO1C1,SLIK2,SLITRK2,SNX3,SNX5,SO1C1,SOAT1,SORC2,SORCS2,SORL,SORL1,SOX11,SOX2,SOX4,SOX8,SOX9,SPARCL1,SPAT6,SPATA6,SPB6,SPOCK1,SPON1,SPRL1,SPRY1,SPRY2,SPY1,SPY2,SRPX,SSR2,SSTR2,ST6GAL2,STMN1,STON2,SYDC,SYPL1,SYT1,T132B,T151B,T22D4,TACR1,TAGL3,TAGLN3,TB10A,TB15A,TBB3,TBB5,TBC1D10A,TCF7L2,TCPR2,TECPR2,TENA,TENS1,TEX264,TF,TF7L2,TFPI,TFPI1,THBS3,TICN1,TIMP1,TIMP3,TISB,TISD,TM7SF2,TMEM132B,TMEM151B,TMSB10,TMSB15A,TNC,TNFRSF19,TNR19,TNR5,TNS1,TOB2,TOIP1,TOR1AIP1,TP53I3,TPC1,TPCN1,TRI47,TRI66,TRIB2,TRIL,TRIM47,TRIM66,TSC22D4,TSN12,TSN3,TSN6,TSN7,TSP3,TSPAN12,TSPAN3,TSPAN6,TSPAN7,TTYH1,TTYH2,TUBB,TUBB3,TX264,TYB10,UBL3,UCHL1,UT1,VCAM1,VEPH1,VIM,VIME,WSCD1,YIF1A,ZFAN5,ZFAND5,ZFP36,ZFP36L1,ZFP36L2,ZFY21,ZFYVE21,ZNT10
Astrocytes	10-fTHF,24p3,8B,AA,AANAT,ACH,ACSBG1,ACSL6,AD2,AGT,AHDS,ALDH1L1,ALDOC,APOE,AQP4,ARCA1,ARMD7,asc-1,B-FABP,bA261N11.2,bA314N13.5,BG1,BGM,BLBP,BLR2,Bp50,BYSL,C20orf58,C6orf98,CAGA,CCR7,CD197,CD333,CD363,CD39L1,CD40,CDw197,CEK2,CGLA,CIS3,Cish3,CKLFSF5,CLDN10,CMD1,CMKBR7,CMPD1,CMTM5,CPETRL3,CPG2,CRALBP,CX30,CX43,D1S3362,DIO2,dJ45H2.2,DMN,DXS128,EA6,EAAT1,EAAT2,EAAT4,EBI1,ED2,edg-1,EDH,enaptin,Enp1,ENTPD2,ETBR-LP-2,ETS-1,ETS1,FABP7,FACL6,FAM77A,FGFR3,FLJ10739,FLJ10768,FLJ30320,FLJ30499,FLJ32389,FLJ37521,FLJ45472,FTHFD,FZD2,GAT3,GFAP,GJA1,GJAL,GJB6,GLAST,GLT-1,GPR37L1,GSTA4,H3P,hBG1,hhNMC,HMG20A,HMGX1,HMGXB1,HNBC1,hsBG,Hsp20,HSPA2,HSPB6,HtrA,HTRA1,IGFBP5-protease,IL-23,IL-23A,IL23A,IL23P19,ILV1,ITIH3,JTK4,KIAA0353,KIAA0407,KIAA0631,KIAA0644,KIAA0796,KIAA0837,LACS5,LCAT,LCN2,LDL-PLA2,LUZP2,MCT8,MEGF4,MGC131950,MGC138321,MGC138323,MGC14352,MIWC,MRS3/4,MRS4L,MRX22,MYNE1,NBC1,NBC2,Nesp1,Nesprin-1,NFAT4,NFATC3,NFATX,NGAL,NKAIN4,NTPDase-2,NTR2,NTSR2,ODDD,ODOD,OSP-L,P19,P8,PLA2G7,PLXN5,PLXNB1,pNBC,PPP1R91,PRSS11,RLBP1,S100A8,S100B,S100beta,S1PR1,SCAR8,SDTY3,SelY,SERPINA8,SGRF,SLC16A2,SLC1A2,SLC1A3,SLC1A6,SLC25A28,SLC25A46,SLC39A12,SLC4A4,SLC4A5,SLC6A11,SLC7A10,SLIL1,Slit-1,slit1,SLIT1,SLIT3,SNAT,SNPH,SOCS-3,SOCS3,SOX9,SRA1,SRR,SSI-3,SYNE-1B,SYNE1,SYNM,TCF13,TEAD1,TEF-1,TNFRSF5,TRIL,TXDI2,VIM,WNT3,XPCT
Astroglial progenitor cell	PBIP1,PBXIP1
Atypical memory B cell	CD10,CD19,CD20,CD21,CD27,CR2,MME,MS4A1,NEP
