TF,hits,pred_total,gt_total,precision,recall,f1,method
DNMT3B,1,22,12,0.045454545454545456,0.08333333333333333,0.05882352941176471,scGPT-emb500
CXXC1,1,32,4,0.03125,0.25,0.05555555555555555,scGPT-emb500
SAP18,1,21,15,0.047619047619047616,0.06666666666666667,0.05555555555555555,scGPT-emb500
NPM1,1,25,12,0.04,0.08333333333333333,0.05405405405405406,scGPT-emb500
HCFC1,1,29,11,0.034482758620689655,0.09090909090909091,0.05,scGPT-emb500
ARID4B,1,39,5,0.02564102564102564,0.2,0.045454545454545456,scGPT-emb500
PA2G4,1,36,10,0.027777777777777776,0.1,0.04347826086956522,scGPT-emb500
POLR2D,0,36,54,0.0,0.0,0.0,scGPT-emb500
SALL2,0,35,1,0.0,0.0,0.0,scGPT-emb500
ZNF202,0,35,1,0.0,0.0,0.0,scGPT-emb500
E2F7,0,34,4,0.0,0.0,0.0,scGPT-emb500
FOXH1,0,33,1,0.0,0.0,0.0,scGPT-emb500
DEK,0,32,12,0.0,0.0,0.0,scGPT-emb500
HESX1,0,32,1,0.0,0.0,0.0,scGPT-emb500
PHF21A,0,32,6,0.0,0.0,0.0,scGPT-emb500
RBFOX2,0,32,8,0.0,0.0,0.0,scGPT-emb500
GTF3C4,0,31,7,0.0,0.0,0.0,scGPT-emb500
MAPK10,0,30,13,0.0,0.0,0.0,scGPT-emb500
POU2F1,0,29,19,0.0,0.0,0.0,scGPT-emb500
SETBP1,0,29,2,0.0,0.0,0.0,scGPT-emb500
BCLAF1,0,28,1,0.0,0.0,0.0,scGPT-emb500
KHDRBS2,0,27,1,0.0,0.0,0.0,scGPT-emb500
CDCA7L,0,25,1,0.0,0.0,0.0,scGPT-emb500
ZEB1,0,25,17,0.0,0.0,0.0,scGPT-emb500
ZNF764,0,23,1,0.0,0.0,0.0,scGPT-emb500
HDAC9,0,22,10,0.0,0.0,0.0,scGPT-emb500
TCF4,0,22,11,0.0,0.0,0.0,scGPT-emb500
AFF4,0,21,12,0.0,0.0,0.0,scGPT-emb500
MLLT3,0,21,16,0.0,0.0,0.0,scGPT-emb500
SOX5,0,21,1,0.0,0.0,0.0,scGPT-emb500
TBX3,2,21,8,0.09523809523809523,0.25,0.13793103448275862,scGPT-att500
RBMX,2,20,29,0.1,0.06896551724137931,0.08163265306122448,scGPT-att500
TGFB1I1,1,24,3,0.041666666666666664,0.3333333333333333,0.07407407407407407,scGPT-att500
POLR2I,3,32,53,0.09375,0.05660377358490566,0.07058823529411766,scGPT-att500
POLR2K,3,28,65,0.10714285714285714,0.046153846153846156,0.06451612903225806,scGPT-att500
TLE3,1,21,14,0.047619047619047616,0.07142857142857142,0.057142857142857134,scGPT-att500
POLR2G,2,27,58,0.07407407407407407,0.034482758620689655,0.047058823529411764,scGPT-att500
POLR2F,2,22,65,0.09090909090909091,0.03076923076923077,0.04597701149425288,scGPT-att500
POLR2H,2,22,65,0.09090909090909091,0.03076923076923077,0.04597701149425288,scGPT-att500
SF1,1,21,28,0.047619047619047616,0.03571428571428571,0.04081632653061224,scGPT-att500
RNPS1,1,20,30,0.05,0.03333333333333333,0.04,scGPT-att500
YBX1,1,26,28,0.038461538461538464,0.03571428571428571,0.03703703703703704,scGPT-att500
SNRPB,1,29,26,0.034482758620689655,0.038461538461538464,0.03636363636363637,scGPT-att500
ALYREF,1,20,35,0.05,0.02857142857142857,0.03636363636363636,scGPT-att500
SNRPD1,1,30,27,0.03333333333333333,0.037037037037037035,0.03508771929824562,scGPT-att500
HNRNPK,1,22,35,0.045454545454545456,0.02857142857142857,0.03508771929824561,scGPT-att500
CBX3,0,29,8,0.0,0.0,0.0,scGPT-att500
SAP18,0,29,15,0.0,0.0,0.0,scGPT-att500
DEK,0,28,12,0.0,0.0,0.0,scGPT-att500
MIF,0,28,1,0.0,0.0,0.0,scGPT-att500
PA2G4,0,27,10,0.0,0.0,0.0,scGPT-att500
SSB,0,27,19,0.0,0.0,0.0,scGPT-att500
IFI16,0,25,1,0.0,0.0,0.0,scGPT-att500
HMGA1,0,24,3,0.0,0.0,0.0,scGPT-att500
HNRNPAB,0,24,3,0.0,0.0,0.0,scGPT-att500
ILF2,0,24,19,0.0,0.0,0.0,scGPT-att500
APEX1,0,23,13,0.0,0.0,0.0,scGPT-att500
PARP1,0,23,16,0.0,0.0,0.0,scGPT-att500
PTMA,0,23,1,0.0,0.0,0.0,scGPT-att500
SP100,0,23,14,0.0,0.0,0.0,scGPT-att500
CITED2,0,22,7,0.0,0.0,0.0,scGPT-att500
JUND,0,22,2,0.0,0.0,0.0,scGPT-att500
NFIC,0,22,7,0.0,0.0,0.0,scGPT-att500
BHLHE40,0,21,5,0.0,0.0,0.0,scGPT-att500
NONO,0,21,10,0.0,0.0,0.0,scGPT-att500
NPM1,0,21,12,0.0,0.0,0.0,scGPT-att500
BCL11A,0,20,1,0.0,0.0,0.0,scGPT-att500
MDM4,0,20,3,0.0,0.0,0.0,scGPT-att500
MECOM,0,20,11,0.0,0.0,0.0,scGPT-att500
RUVBL2,0,20,7,0.0,0.0,0.0,scGPT-att500
WWTR1,0,20,7,0.0,0.0,0.0,scGPT-att500
SNRPD1,15,30,27,0.5,0.5555555555555556,0.5263157894736842,scGPT-embhidden500
SRSF3,17,38,33,0.4473684210526316,0.5151515151515151,0.4788732394366197,scGPT-embhidden500
HNRNPK,16,33,35,0.48484848484848486,0.45714285714285713,0.4705882352941177,scGPT-embhidden500
POLR1B,13,29,27,0.4482758620689655,0.48148148148148145,0.4642857142857143,scGPT-embhidden500
YBX1,13,31,28,0.41935483870967744,0.4642857142857143,0.44067796610169496,scGPT-embhidden500
PDCD11,12,38,18,0.3157894736842105,0.6666666666666666,0.42857142857142855,scGPT-embhidden500
HNRNPD,13,35,26,0.37142857142857144,0.5,0.42622950819672134,scGPT-embhidden500
FUS,12,33,25,0.36363636363636365,0.48,0.41379310344827586,scGPT-embhidden500
RNPS1,15,46,30,0.32608695652173914,0.5,0.39473684210526316,scGPT-embhidden500
POLR1A,13,43,24,0.3023255813953488,0.5416666666666666,0.3880597014925373,scGPT-embhidden500
RBMX,13,39,29,0.3333333333333333,0.4482758620689655,0.38235294117647056,scGPT-embhidden500
SNRPB,10,28,26,0.35714285714285715,0.38461538461538464,0.3703703703703704,scGPT-embhidden500
ILF2,9,30,19,0.3,0.47368421052631576,0.3673469387755102,scGPT-embhidden500
SRSF10,12,46,22,0.2608695652173913,0.5454545454545454,0.3529411764705882,scGPT-embhidden500
MYBBP1A,7,23,17,0.30434782608695654,0.4117647058823529,0.35,scGPT-embhidden500
SRSF2,11,35,28,0.3142857142857143,0.39285714285714285,0.34920634920634924,scGPT-embhidden500
SF1,9,25,28,0.36,0.32142857142857145,0.33962264150943394,scGPT-embhidden500
NONO,8,41,10,0.1951219512195122,0.8,0.3137254901960785,scGPT-embhidden500
SSB,9,42,19,0.21428571428571427,0.47368421052631576,0.29508196721311475,scGPT-embhidden500
SFPQ,9,52,16,0.17307692307692307,0.5625,0.2647058823529412,scGPT-embhidden500
ILF3,8,48,14,0.16666666666666666,0.5714285714285714,0.25806451612903225,scGPT-embhidden500
APEX1,6,34,13,0.17647058823529413,0.46153846153846156,0.25531914893617025,scGPT-embhidden500
CXXC1,3,33,4,0.09090909090909091,0.75,0.16216216216216214,scGPT-embhidden500
SAP18,3,22,15,0.13636363636363635,0.2,0.16216216216216214,scGPT-embhidden500
SMAD2,6,47,38,0.1276595744680851,0.15789473684210525,0.14117647058823526,scGPT-embhidden500
SUPT16H,4,38,20,0.10526315789473684,0.2,0.13793103448275862,scGPT-embhidden500
XRCC6,4,43,17,0.09302325581395349,0.23529411764705882,0.13333333333333333,scGPT-embhidden500
XRCC5,4,47,16,0.0851063829787234,0.25,0.12698412698412698,scGPT-embhidden500
TFDP1,3,20,28,0.15,0.10714285714285714,0.125,scGPT-embhidden500
EHMT2,3,32,17,0.09375,0.17647058823529413,0.12244897959183672,scGPT-embhidden500
ATRX,3,42,10,0.07142857142857142,0.3,0.11538461538461536,scGPT-embhidden500
PARP1,2,22,16,0.09090909090909091,0.125,0.10526315789473685,scGPT-embhidden500
CSDE1,2,38,2,0.05263157894736842,1.0,0.1,scGPT-embhidden500
ASH2L,3,33,31,0.09090909090909091,0.0967741935483871,0.09375000000000001,scGPT-embhidden500
UPF1,2,37,9,0.05405405405405406,0.2222222222222222,0.08695652173913043,scGPT-embhidden500
TCEA1,2,35,12,0.05714285714285714,0.16666666666666666,0.0851063829787234,scGPT-embhidden500
BMPR1A,2,38,10,0.05263157894736842,0.2,0.08333333333333333,scGPT-embhidden500
DNMT3A,2,43,15,0.046511627906976744,0.13333333333333333,0.06896551724137931,scGPT-embhidden500
RBBP4,3,34,56,0.08823529411764706,0.05357142857142857,0.06666666666666667,scGPT-embhidden500
RNF14,2,48,14,0.041666666666666664,0.14285714285714285,0.06451612903225806,scGPT-embhidden500
SMARCC1,2,53,11,0.03773584905660377,0.18181818181818182,0.0625,scGPT-embhidden500
DPF2,1,30,3,0.03333333333333333,0.3333333333333333,0.0606060606060606,scGPT-embhidden500
NCOA6,2,43,24,0.046511627906976744,0.08333333333333333,0.059701492537313425,scGPT-embhidden500
NPM1,1,26,12,0.038461538461538464,0.08333333333333333,0.05263157894736842,scGPT-embhidden500
POLR2D,2,23,54,0.08695652173913043,0.037037037037037035,0.051948051948051945,scGPT-embhidden500
CNTRL,1,37,3,0.02702702702702703,0.3333333333333333,0.05,scGPT-embhidden500
DEK,1,29,12,0.034482758620689655,0.08333333333333333,0.04878048780487805,scGPT-embhidden500
PA2G4,1,32,10,0.03125,0.1,0.047619047619047616,scGPT-embhidden500
SMARCD1,1,30,12,0.03333333333333333,0.08333333333333333,0.04761904761904761,scGPT-embhidden500
FUBP1,2,80,5,0.025,0.4,0.04705882352941177,scGPT-embhidden500
CBX3,1,37,8,0.02702702702702703,0.125,0.044444444444444446,scGPT-embhidden500
CNBP,1,45,1,0.022222222222222223,1.0,0.04347826086956522,scGPT-embhidden500
PARN,1,45,2,0.022222222222222223,0.5,0.0425531914893617,scGPT-embhidden500
ASXL1,1,37,10,0.02702702702702703,0.1,0.0425531914893617,scGPT-embhidden500
SUPT7L,1,46,2,0.021739130434782608,0.5,0.041666666666666664,scGPT-embhidden500
SMG6,1,46,5,0.021739130434782608,0.2,0.0392156862745098,scGPT-embhidden500
TRIM33,1,47,6,0.02127659574468085,0.16666666666666666,0.03773584905660377,scGPT-embhidden500
VHL,1,34,19,0.029411764705882353,0.05263157894736842,0.03773584905660377,scGPT-embhidden500
BRWD1,1,54,1,0.018518518518518517,1.0,0.03636363636363636,scGPT-embhidden500
POU2F1,1,37,19,0.02702702702702703,0.05263157894736842,0.03571428571428572,scGPT-embhidden500
AFF4,1,52,12,0.019230769230769232,0.08333333333333333,0.03125,scGPT-embhidden500
ARID4B,1,64,5,0.015625,0.2,0.028985507246376812,scGPT-embhidden500
SNAPC3,1,56,14,0.017857142857142856,0.07142857142857142,0.028571428571428574,scGPT-embhidden500
NAA15,0,62,1,0.0,0.0,0.0,scGPT-embhidden500
BCLAF1,0,58,1,0.0,0.0,0.0,scGPT-embhidden500
KAT6A,0,54,4,0.0,0.0,0.0,scGPT-embhidden500
PURA,0,53,3,0.0,0.0,0.0,scGPT-embhidden500
ZKSCAN1,0,53,1,0.0,0.0,0.0,scGPT-embhidden500
EWSR1,0,51,10,0.0,0.0,0.0,scGPT-embhidden500
FXR1,0,51,5,0.0,0.0,0.0,scGPT-embhidden500
TRIP11,0,50,1,0.0,0.0,0.0,scGPT-embhidden500
MDM4,0,47,3,0.0,0.0,0.0,scGPT-embhidden500
MED14,0,46,10,0.0,0.0,0.0,scGPT-embhidden500
CBFA2T2,0,45,2,0.0,0.0,0.0,scGPT-embhidden500
SOS2,0,45,1,0.0,0.0,0.0,scGPT-embhidden500
YAF2,0,45,4,0.0,0.0,0.0,scGPT-embhidden500
NR2C1,0,44,1,0.0,0.0,0.0,scGPT-embhidden500
GTF3C4,0,38,7,0.0,0.0,0.0,scGPT-embhidden500
NFATC3,0,38,4,0.0,0.0,0.0,scGPT-embhidden500
SNAPC4,0,38,14,0.0,0.0,0.0,scGPT-embhidden500
APC,0,37,12,0.0,0.0,0.0,scGPT-embhidden500
PSIP1,0,37,3,0.0,0.0,0.0,scGPT-embhidden500
ZNF202,0,36,1,0.0,0.0,0.0,scGPT-embhidden500
PHF21A,0,33,6,0.0,0.0,0.0,scGPT-embhidden500
ZBTB38,0,32,1,0.0,0.0,0.0,scGPT-embhidden500
ZNF398,0,32,1,0.0,0.0,0.0,scGPT-embhidden500
ZNF764,0,28,1,0.0,0.0,0.0,scGPT-embhidden500
RBFOX2,0,27,8,0.0,0.0,0.0,scGPT-embhidden500
E2F3,0,26,14,0.0,0.0,0.0,scGPT-embhidden500
RNF19A,0,24,13,0.0,0.0,0.0,scGPT-embhidden500
KAT7,0,22,3,0.0,0.0,0.0,scGPT-embhidden500
ZNF160,0,21,1,0.0,0.0,0.0,scGPT-embhidden500
TRAF6,0,20,12,0.0,0.0,0.0,scGPT-embhidden500
