DB,Term,PValue,Overlap,SetSize,QuerySize,BackgroundSize,Genes,FDR_BH,neglog10P
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_BASE_EXCISION_REPAIR,0.0003355138510730143,2,35,11,13868,APEX1;PARP1,0.0032519034796307544,3.4742895460749934
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,0.0003958994706110979,2,38,11,13868,APEX1;PARP1,0.0035630952354998814,3.402415078977355
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,0.000713996787845931,2,51,11,13868,SNRPB;SNRPD1,0.005622724704286707,3.146303742038847
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,0.000713996787845931,2,51,11,13868,PARP1;YBX1,0.005622724704286707,3.146303742038847
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SNRNP_ASSEMBLY,0.000800316590258514,2,54,11,13868,SNRPB;SNRPD1,0.0059317582572101625,3.096738180253303
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,0.0012296101270119653,2,67,11,13868,RNPS1;SNRPB,0.008607270889083758,2.9102325686643757
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_BASE_EXCISION_REPAIR,0.002205251708664373,2,90,11,13868,APEX1;PARP1,0.014624300804826894,2.656541832751666
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,0.0024026174700030522,2,94,11,13868,PARP1;YBX1,0.015136490061019229,2.6193153693922246
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_VIRAL_INFECTION_PATHWAYS,0.003691433394654769,4,879,11,13868,HNRNPK;PARP1;SNRPB;SNRPD1,0.022148600367928612,2.432804963241749
c2.cp.v2025.1.Hs.symbols.gmt,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,0.0038807465667004427,2,120,11,13868,APEX1;PARP1,0.022226093972920715,2.41108471806322
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_RNAPOL3_PATHWAY,0.005540351713880638,1,7,11,13868,SSB,0.03035149199778089,2.256462664414333
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_MONOFUNCTIONAL_GLYCOSYLASE,0.006329548462394262,1,8,11,13868,APEX1,0.030927246600532327,2.1986272705964023
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3,0.006329548462394262,1,8,11,13868,YBX1,0.030927246600532327,2.1986272705964023
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.006877447863668862,2,161,11,13868,PARP1;YBX1,0.030927246600532327,2.1625726932111604
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_NEIL_GLYCOSYLASE,0.007118175804884425,1,9,11,13868,PARP1,0.030927246600532327,2.147631289983714
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,0.007118175804884425,1,9,11,13868,APEX1,0.030927246600532327,2.147631289983714
c2.cp.v2025.1.Hs.symbols.gmt,WP_LNCRNALIKE_NMRK2_IN_TRANSLOCATION_RENAL_CELL_CARCINOMA,0.007118175804884425,1,9,11,13868,NONO,0.030927246600532327,2.147631289983714
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_INFECTIOUS_DISEASE,0.007513143120806633,4,1071,11,13868,HNRNPK;PARP1;SNRPB;SNRPD1,0.03155520110738786,2.1241783380357195
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_SET_PATHWAY,0.00790623411112198,1,10,11,13868,APEX1,0.032135016064560304,2.1020303299294136
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,0.008693723750664312,1,11,11,13868,SNRPB,0.03228544004594021,2.0607941639459897
c2.cp.v2025.1.Hs.symbols.gmt,WP_NAD_METABOLISM_SIRTUINS_AND_AGING,0.008693723750664312,1,11,11,13868,PARP1,0.03228544004594021,2.0607941639459897
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SUMOYLATION,0.009372146846753887,2,189,11,13868,HNRNPK;PARP1,0.03228544004594021,2.0281609153124553
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_D4GDI_PATHWAY,0.009480645092855459,1,12,11,13868,PARP1,0.03228544004594021,2.023162110896561
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,0.009480645092855459,1,12,11,13868,PARP1,0.03228544004594021,2.023162110896561
c2.cp.v2025.1.Hs.symbols.gmt,WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,0.009480645092855459,1,12,11,13868,PARP1,0.03228544004594021,2.023162110896561
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SARS_COV_2_HOST_INTERACTIONS,0.010852426223501039,2,204,11,13868,SNRPB;SNRPD1,0.03570899562944274,1.964473157881366
c2.cp.v2025.1.Hs.symbols.gmt,WP_JAKSTAT_SIGNALING_AND_ARTD_FAMILY_MEMBERS,0.011052784361494181,1,14,11,13868,PARP1,0.03570899562944274,1.9565283029283864
c2.cp.v2025.1.Hs.symbols.gmt,WP_WNTBETACATENIN_SIGNALING_AND_ARTD_FAMILY_MEMBERS,0.011838003025564021,1,15,11,13868,PARP1,0.03728970953052667,1.9267215533669029
c2.cp.v2025.1.Hs.symbols.gmt,PID_CIRCADIAN_PATHWAY,0.01262265486752741,1,16,11,13868,NONO,0.037867964602582224,1.8988492922347748
c2.cp.v2025.1.Hs.symbols.gmt,WP_NAD_METABOLISM,0.01262265486752741,1,16,11,13868,PARP1,0.037867964602582224,1.8988492922347748
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_CHEMICAL_PATHWAY,0.014190259558037608,1,18,11,13868,PARP1,0.041580760565412524,1.848009660667084
c2.cp.v2025.1.Hs.symbols.gmt,SA_CASPASE_CASCADE,0.014973213142504148,1,19,11,13868,PARP1,0.04287783763535279,1.8246849932226323
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.01653742462806557,1,21,11,13868,APEX1,0.04302870913239495,1.7815321221658822
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_CASPASE_PATHWAY,0.01731868326380553,1,22,11,13868,PARP1,0.04302870913239495,1.7614851303903638
c2.cp.v2025.1.Hs.symbols.gmt,WP_NAD_BIOSYNTHETIC_PATHWAYS,0.01731868326380553,1,22,11,13868,PARP1,0.04302870913239495,1.7614851303903638
c2.cp.v2025.1.Hs.symbols.gmt,WP_PROGERIAASSOCIATED_LIPODYSTROPHY,0.01731868326380553,1,22,11,13868,PARP1,0.04302870913239495,1.7614851303903638
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.017913189968293775,4,1374,11,13868,PARP1;RNPS1;SNRPB;YBX1,0.04302870913239495,1.7468270684074811
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RHOBTB1_GTPASE_CYCLE,0.018099377650928034,1,23,11,13868,RBMX,0.04302870913239495,1.7423363581371454
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RHOBTB2_GTPASE_CYCLE,0.018099377650928034,1,23,11,13868,RBMX,0.04302870913239495,1.7423363581371454
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION,0.018099377650928034,1,23,11,13868,SSB,0.04302870913239495,1.7423363581371454
c2.cp.v2025.1.Hs.symbols.gmt,WP_NAD_METABOLISM_IN_ONCOGENEINDUCED_SENESCENCE_AND_MITOCHONDRIAL_DYSFUNCTIONASSOCIATED_SENESCENCE,0.018099377650928034,1,23,11,13868,PARP1,0.04302870913239495,1.7423363581371454
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,0.019659075146277353,1,25,11,13868,YBX1,0.045382739785434195,1.7064369172422407
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_INTERFERON_SIGNALING,0.019809926096816515,2,280,11,13868,ILF2;YBX1,0.045382739785434195,1.7031171446434141
c2.cp.v2025.1.Hs.symbols.gmt,WP_NFKB_SIGNALING_AND_ARTD_FAMILY_MEMBERS,0.02199439868758818,1,28,11,13868,PARP1,0.049064555439579355,1.6576879068506605
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_TNFR1_PATHWAY,0.022771715278226662,1,29,11,13868,PARP1,0.049064555439579355,1.6426042549442803
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,0.022771715278226662,1,29,11,13868,SNRPB,0.049064555439579355,1.6426042549442803
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SARS_COV_2_INFECTION,0.022974672785199855,2,303,11,13868,SNRPB;SNRPD1,0.049064555439579355,1.638750665299591
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_FAS_PATHWAY,0.023548470183345497,1,30,11,13868,PARP1,0.04945178738502554,1.6280373013805987
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,0.02432466376825539,1,31,11,13868,PARP1,0.05024438745574064,1.6139531541264363
c2.cp.v2025.1.Hs.symbols.gmt,WP_MAPK_SIGNALING_AND_ARTD_FAMILY_MEMBERS,0.025100296398055864,1,32,11,13868,PARP1,0.05101027977669418,1.6003211501014287
c2.cp.v2025.1.Hs.symbols.gmt,PID_HIF2PATHWAY,0.026649880251671174,1,34,11,13868,APEX1,0.05235458875429353,1.574304738087888
c2.cp.v2025.1.Hs.symbols.gmt,WP_AKT_SIGNALING_AND_ARTD_FAMILY_MEMBERS,0.026649880251671174,1,34,11,13868,PARP1,0.05235458875429353,1.574304738087888
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DNA_REPAIR,0.02724697953792612,2,332,11,13868,APEX1;PARP1,0.05235458875429353,1.564681634404472
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RHOBTB_GTPASE_CYCLE,0.027423832204629944,1,35,11,13868,RBMX,0.05235458875429353,1.5618718570215635
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,0.02819722466076737,1,36,11,13868,YBX1,0.053027616526219234,1.5497936354334516
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,0.029742332538547925,1,38,11,13868,PARP1,0.05431208550517447,1.526624974990372
c2.cp.v2025.1.Hs.symbols.gmt,WP_TARGETED_AGENTS_IN_TRIPLE_NEGATIVE_BREAST_CANCER,0.029742332538547925,1,38,11,13868,PARP1,0.05431208550517447,1.526624974990372
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DUAL_INCISION_IN_GG_NER,0.03205580722334422,1,41,11,13868,PARP1,0.05644016531327929,1.494093282320103
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION,0.03205580722334422,1,41,11,13868,SSB,0.05644016531327929,1.494093282320103
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RND1_GTPASE_CYCLE,0.032825850336133916,1,42,11,13868,RBMX,0.05644016531327929,1.4837840149259935
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RND3_GTPASE_CYCLE,0.032825850336133916,1,42,11,13868,RBMX,0.05644016531327929,1.4837840149259935
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,0.03359533649599958,1,43,11,13868,PARP1,0.05644016531327929,1.4737210045928824
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RND2_GTPASE_CYCLE,0.03359533649599958,1,43,11,13868,RBMX,0.05644016531327929,1.4737210045928824
c2.cp.v2025.1.Hs.symbols.gmt,WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS,0.03436426606551451,1,44,11,13868,PARP1,0.056972335845458265,1.4638929270961372
c2.cp.v2025.1.Hs.symbols.gmt,PID_ILK_PATHWAY,0.035132639407042233,1,45,11,13868,PARP1,0.05748977357516002,1.4542892217748795
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS,0.03666771885454164,1,47,11,13868,HNRNPK,0.05923246891887496,1.4357161072114821
c2.cp.v2025.1.Hs.symbols.gmt,PID_HES_HEY_PATHWAY,0.03743442568419218,1,48,11,13868,PARP1,0.05970553969883817,1.4267288253942167
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_NOTCH3,0.03820057773321344,1,49,11,13868,YBX1,0.06016590992981117,1.4179300689089906
c2.cp.v2025.1.Hs.symbols.gmt,PID_CASPASE_PATHWAY,0.03973121893442293,1,51,11,13868,PARP1,0.06180411834243567,1.4008681107973155
c2.cp.v2025.1.Hs.symbols.gmt,PID_PTP1B_PATHWAY,0.0404957088086157,1,52,11,13868,YBX1,0.062225113535189974,1.3925909950440305
c2.cp.v2025.1.Hs.symbols.gmt,WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM,0.04278585985318474,1,55,11,13868,PARP1,0.06495202821085876,1.368699735715333
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_HIVNEF_PATHWAY,0.043548138542941844,1,56,11,13868,PARP1,0.06532220781441277,1.3610304040961871
c2.cp.v2025.1.Hs.symbols.gmt,WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING,0.05114063043591817,1,66,11,13868,APEX1,0.07580846394030222,1.2912339225131866
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SARS_COV_INFECTIONS,0.05247757900324419,2,475,11,13868,SNRPB;SNRPD1,0.0768857552838229,1.2800262088798156
c2.cp.v2025.1.Hs.symbols.gmt,WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME,0.05642272902215102,1,73,11,13868,YBX1,0.08171567651483941,1.248545911966576
c2.cp.v2025.1.Hs.symbols.gmt,WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM,0.05792698240539654,1,75,11,13868,PARP1,0.08214960778044261,1.237119094646445
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_PKR_MEDIATED_SIGNALING,0.058678291271744724,1,76,11,13868,ILF2,0.08214960778044261,1.2315225414214133
c2.cp.v2025.1.Hs.symbols.gmt,WP_JOUBERT_SYNDROME,0.058678291271744724,1,76,11,13868,PARP1,0.08214960778044261,1.2315225414214133
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,0.05942905539558542,1,77,11,13868,PARP1,0.0822863843938875,1.2260011726484892
c2.cp.v2025.1.Hs.symbols.gmt,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,0.06242667157275422,1,81,11,13868,PARP1,0.0854973980235547,1.2046298199000607
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,0.06466918130817843,1,84,11,13868,PARP1,0.08668422175351577,1.1893026370518174
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,0.06466918130817843,1,84,11,13868,RNPS1,0.08668422175351577,1.1893026370518174
c2.cp.v2025.1.Hs.symbols.gmt,WP_ACUTE_VIRAL_MYOCARDITIS,0.06541560027260168,1,85,11,13868,PARP1,0.08676174351945064,1.1843186690399448
c2.cp.v2025.1.Hs.symbols.gmt,WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,0.07062538940121765,1,92,11,13868,PARP1,0.09269582358909817,1.1510391446332646
c2.cp.v2025.1.Hs.symbols.gmt,WP_B_CELL_RECEPTOR_SIGNALING,0.07433048790796103,1,97,11,13868,ILF2,0.09554350176318883,1.1288330164632996
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_INTERFERON_GAMMA_SIGNALING,0.07506989424250551,1,98,11,13868,YBX1,0.09554350176318883,1.1245341959616233
c2.cp.v2025.1.Hs.symbols.gmt,WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,0.07506989424250551,1,98,11,13868,HNRNPK,0.09554350176318883,1.1245341959616233
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NUCLEOTIDE_EXCISION_REPAIR,0.08243448213746579,1,108,11,13868,PARP1,0.10283905692396722,1.0838910860031
c2.cp.v2025.1.Hs.symbols.gmt,WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,0.08243448213746579,1,108,11,13868,PARP1,0.10283905692396722,1.0838910860031
c2.cp.v2025.1.Hs.symbols.gmt,WP_CAMKK2_PATHWAY,0.0839009869100237,1,110,11,13868,PARP1,0.10364239559473516,1.0762329306247371
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_HCMV_LATE_EVENTS,0.0882877258784289,1,116,11,13868,HNRNPK,0.10682038754759964,1.054099669625049
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,0.0882877258784289,1,116,11,13868,RNPS1,0.10682038754759964,1.054099669625049
c2.cp.v2025.1.Hs.symbols.gmt,WP_SPINAL_CORD_INJURY,0.0890169896229997,1,117,11,13868,APEX1,0.10682038754759964,1.050527096778121
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_HOMOLOGY_DIRECTED_REPAIR,0.10564438371686528,1,140,11,13868,PARP1,0.12557728630495307,0.9761535860286817
c2.cp.v2025.1.Hs.symbols.gmt,WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING,0.1085077771399477,1,144,11,13868,YBX1,0.12742604240066938,0.9645391332631921
c2.cp.v2025.1.Hs.symbols.gmt,WP_MALE_INFERTILITY,0.1092223220577166,1,145,11,13868,PARP1,0.12742604240066938,0.9616885946368328
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.11349866898919561,1,151,11,13868,ILF2,0.13120029626273988,0.9450092314579697
c2.cp.v2025.1.Hs.symbols.gmt,WP_BREAST_CANCER_PATHWAY,0.11562983614065742,1,154,11,13868,PARP1,0.13244872139748032,0.9369300897964474
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_INFLUENZA_INFECTION,0.11775634466561992,1,157,11,13868,PARP1,0.1328814213327035,0.9290156839524798
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,0.11917143341742456,1,159,11,13868,RNPS1,0.1328814213327035,0.923827836844261
c2.cp.v2025.1.Hs.symbols.gmt,WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,0.11917143341742456,1,159,11,13868,YBX1,0.1328814213327035,0.923827836844261
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_HCMV_INFECTION,0.12129019792847752,1,162,11,13868,HNRNPK,0.13405758718410674,0.9161742952388106
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.12548000418129407,2,785,11,13868,ILF2;YBX1,0.13748243936385263,0.9014254755025608
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,0.12691760523123513,1,170,11,13868,PARP1,0.13785877809599678,0.8964781310616348
c2.cp.v2025.1.Hs.symbols.gmt,WP_CIRCADIAN_RHYTHM_GENES,0.14841572825311736,1,201,11,13868,NONO,0.15983232273412637,0.8285200725638173
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,0.15115433941261666,1,205,11,13868,RNPS1,0.16140209123720084,0.820579380369048
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_NOTCH,0.17544396370860682,1,241,11,13868,YBX1,0.18576419686793663,0.7558615694442468
c2.cp.v2025.1.Hs.symbols.gmt,WP_IL18_SIGNALING,0.19650243792292957,1,273,11,13868,PARP1,0.20632755981907605,0.7066320571465307
h.all.v2025.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,0.1977715126210119,1,158,6,4384,APEX1,0.24446308039652315,0.7038362648242402
h.all.v2025.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,0.24446308039652315,1,200,6,4384,SNRPB,0.24446308039652315,0.6117867201426301
h.all.v2025.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,0.24446308039652315,1,200,6,4384,SNRPD1,0.24446308039652315,0.6117867201426301
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RHO_GTPASE_CYCLE,0.30440619361017834,1,450,11,13868,RBMX,0.3169849619411775,0.5165465154252533
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NEUTROPHIL_DEGRANULATION,0.3202132957439449,1,478,11,13868,ILF2,0.33071209232571364,0.4945606394737203
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.3346428219533809,2,1491,11,13868,HNRNPK;PARP1,0.34280484200102435,0.4754184861228179
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.3656955449076645,1,562,11,13868,RNPS1,0.37159386014811063,0.4368803304298067
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0.4438267240183896,1,720,11,13868,RBMX,0.4473773378105367,0.3527865512606203
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_INNATE_IMMUNE_SYSTEM,0.602068926000642,1,1114,11,13868,ILF2,0.602068926000642,0.22035378703418218
