Gene1,Gene2,EdgeType,Source
SNRPB,HNRNPK,TF-TF,scGPT_emb500_filtered
SNRPB,RNPS1,TF-TF,scGPT_emb500_filtered
SNRPB,CNBP,TF-Target,scGPT_emb500_filtered
SNRPB,DNMT1,TF-Target,scGPT_emb500_filtered
SNRPB,YBX1,TF-TF,scGPT_emb500_filtered
SNRPB,MCM5,TF-Target,scGPT_emb500_filtered
SNRPB,ODC1,TF-Target,scGPT_emb500_filtered
SNRPB,GINS2,TF-Target,scGPT_emb500_filtered
SNRPB,POLR2H,TF-Target,scGPT_emb500_filtered
SNRPB,POLR2K,TF-Target,scGPT_emb500_filtered
SNRPB,SFPQ,TF-Target,scGPT_emb500_filtered
SNRPB,XRCC5,TF-Target,scGPT_emb500_filtered
SNRPB,SRSF10,TF-Target,scGPT_emb500_filtered
SNRPB,SUPT16H,TF-Target,scGPT_emb500_filtered
SNRPB,CRABP2,TF-Target,scGPT_emb500_filtered
SNRPB,ILF3,TF-Target,scGPT_emb500_filtered
SNRPB,ALYREF,TF-Target,scGPT_emb500_filtered
SNRPB,CHAF1A,TF-Target,scGPT_emb500_filtered
SNRPB,POLR2G,TF-Target,scGPT_emb500_filtered
SNRPB,SRSF1,TF-Target,scGPT_emb500_filtered
SNRPB,EWSR1,TF-Target,scGPT_emb500_filtered
SNRPB,TRIM28,TF-Target,scGPT_emb500_filtered
SNRPB,IFI16,TF-Target,scGPT_emb500_filtered
SNRPB,PMAIP1,TF-Target,scGPT_emb500_filtered
SNRPB,CDC20,TF-Target,scGPT_emb500_filtered
SNRPB,EPCAM,TF-Target,scGPT_emb500_filtered
SNRPB,RBMX,TF-TF,scGPT_emb500_filtered
SNRPB,RUVBL2,TF-Target,scGPT_emb500_filtered
SNRPB,NFKBIA,TF-Target,scGPT_emb500_filtered
SNRPB,KHSRP,TF-Target,scGPT_emb500_filtered
SNRPB,IRF1,TF-Target,scGPT_emb500_filtered
SNRPB,POLR2F,TF-Target,scGPT_emb500_filtered
YBX1,NPM1,TF-Target,scGPT_emb500_filtered
YBX1,PTMA,TF-Target,scGPT_emb500_filtered
YBX1,DEK,TF-Target,scGPT_emb500_filtered
YBX1,HNRNPAB,TF-Target,scGPT_emb500_filtered
YBX1,PA2G4,TF-Target,scGPT_emb500_filtered
YBX1,SFPQ,TF-Target,scGPT_emb500_filtered
YBX1,HNRNPK,TF-TF,scGPT_emb500_filtered
YBX1,VIM,TF-Target,scGPT_emb500_filtered
YBX1,MIF,TF-Target,scGPT_emb500_filtered
YBX1,CSDE1,TF-Target,scGPT_emb500_filtered
YBX1,HMGA1,TF-Target,scGPT_emb500_filtered
YBX1,CNBP,TF-Target,scGPT_emb500_filtered
YBX1,SRSF3,TF-Target,scGPT_emb500_filtered
YBX1,ENO1,TF-Target,scGPT_emb500_filtered
YBX1,CITED2,TF-Target,scGPT_emb500_filtered
YBX1,SNRPD1,TF-TF,scGPT_emb500_filtered
YBX1,PSIP1,TF-Target,scGPT_emb500_filtered
YBX1,CBX3,TF-Target,scGPT_emb500_filtered
YBX1,ODC1,TF-Target,scGPT_emb500_filtered
YBX1,SAP18,TF-Target,scGPT_emb500_filtered
YBX1,FUS,TF-Target,scGPT_emb500_filtered
YBX1,TCEA1,TF-Target,scGPT_emb500_filtered
YBX1,SRSF2,TF-Target,scGPT_emb500_filtered
YBX1,HNRNPD,TF-Target,scGPT_emb500_filtered
YBX1,SOX4,TF-Target,scGPT_emb500_filtered
YBX1,ILF3,TF-Target,scGPT_emb500_filtered
YBX1,EEF1A1,TF-Target,scGPT_emb500_filtered
RNPS1,EWSR1,TF-Target,scGPT_emb500_filtered
RNPS1,SRSF10,TF-Target,scGPT_emb500_filtered
RNPS1,FUS,TF-Target,scGPT_emb500_filtered
RNPS1,SRSF2,TF-Target,scGPT_emb500_filtered
RNPS1,SF1,TF-Target,scGPT_emb500_filtered
RNPS1,XRCC6,TF-Target,scGPT_emb500_filtered
RNPS1,SNRPD1,TF-TF,scGPT_emb500_filtered
RNPS1,RBBP4,TF-Target,scGPT_emb500_filtered
RNPS1,BCLAF1,TF-Target,scGPT_emb500_filtered
RNPS1,SUPT16H,TF-Target,scGPT_emb500_filtered
RNPS1,HNRNPD,TF-Target,scGPT_emb500_filtered
RNPS1,ILF3,TF-Target,scGPT_emb500_filtered
RNPS1,CNBP,TF-Target,scGPT_emb500_filtered
RNPS1,MCM7,TF-Target,scGPT_emb500_filtered
RNPS1,PA2G4,TF-Target,scGPT_emb500_filtered
RNPS1,SMARCC1,TF-Target,scGPT_emb500_filtered
RNPS1,RBMX,TF-TF,scGPT_emb500_filtered
RNPS1,SFPQ,TF-Target,scGPT_emb500_filtered
RNPS1,CSDE1,TF-Target,scGPT_emb500_filtered
RNPS1,XRCC5,TF-Target,scGPT_emb500_filtered
RNPS1,CBX3,TF-Target,scGPT_emb500_filtered
RNPS1,ELAVL2,TF-Target,scGPT_emb500_filtered
RNPS1,DNAJC2,TF-Target,scGPT_emb500_filtered
RNPS1,HNRNPK,TF-TF,scGPT_emb500_filtered
RNPS1,HMGA1,TF-Target,scGPT_emb500_filtered
RNPS1,DEK,TF-Target,scGPT_emb500_filtered
RNPS1,DNMT1,TF-Target,scGPT_emb500_filtered
RNPS1,PSIP1,TF-Target,scGPT_emb500_filtered
RNPS1,SRSF1,TF-Target,scGPT_emb500_filtered
RNPS1,SRSF3,TF-Target,scGPT_emb500_filtered
RNPS1,ENO1,TF-Target,scGPT_emb500_filtered
RNPS1,THY1,TF-Target,scGPT_emb500_filtered
RNPS1,HNRNPAB,TF-Target,scGPT_emb500_filtered
RNPS1,POLR2H,TF-Target,scGPT_emb500_filtered
RNPS1,TCEA1,TF-Target,scGPT_emb500_filtered
RNPS1,SAP18,TF-Target,scGPT_emb500_filtered
RNPS1,ATRX,TF-Target,scGPT_emb500_filtered
RBMX,SRSF3,TF-Target,scGPT_emb500_filtered
RBMX,HNRNPD,TF-Target,scGPT_emb500_filtered
RBMX,CBX3,TF-Target,scGPT_emb500_filtered
RBMX,SFPQ,TF-Target,scGPT_emb500_filtered
RBMX,HNRNPK,TF-TF,scGPT_emb500_filtered
RBMX,RBBP4,TF-Target,scGPT_emb500_filtered
RBMX,FUS,TF-Target,scGPT_emb500_filtered
RBMX,XRCC6,TF-Target,scGPT_emb500_filtered
RBMX,EWSR1,TF-Target,scGPT_emb500_filtered
RBMX,SF1,TF-Target,scGPT_emb500_filtered
RBMX,ILF3,TF-Target,scGPT_emb500_filtered
RBMX,FXR1,TF-Target,scGPT_emb500_filtered
RBMX,NPM1,TF-Target,scGPT_emb500_filtered
RBMX,XRCC5,TF-Target,scGPT_emb500_filtered
RBMX,SNRPD1,TF-TF,scGPT_emb500_filtered
RBMX,SRSF10,TF-Target,scGPT_emb500_filtered
RBMX,BCLAF1,TF-Target,scGPT_emb500_filtered
RBMX,CNBP,TF-Target,scGPT_emb500_filtered
RBMX,CSDE1,TF-Target,scGPT_emb500_filtered
RBMX,FUBP1,TF-Target,scGPT_emb500_filtered
RBMX,DEK,TF-Target,scGPT_emb500_filtered
RBMX,SRSF2,TF-Target,scGPT_emb500_filtered
RBMX,PSIP1,TF-Target,scGPT_emb500_filtered
RBMX,SOX4,TF-Target,scGPT_emb500_filtered
RBMX,PA2G4,TF-Target,scGPT_emb500_filtered
RBMX,SRSF1,TF-Target,scGPT_emb500_filtered
RBMX,SUPT16H,TF-Target,scGPT_emb500_filtered
RBMX,ATRX,TF-Target,scGPT_emb500_filtered
RBMX,SRSF6,TF-Target,scGPT_emb500_filtered
RBMX,SMARCC1,TF-Target,scGPT_emb500_filtered
RBMX,PDCD4,TF-Target,scGPT_emb500_filtered
RBMX,IFI16,TF-Target,scGPT_emb500_filtered
RBMX,PTMA,TF-Target,scGPT_emb500_filtered
HNRNPK,CNBP,TF-Target,scGPT_emb500_filtered
HNRNPK,XRCC6,TF-Target,scGPT_emb500_filtered
HNRNPK,SRSF3,TF-Target,scGPT_emb500_filtered
HNRNPK,NPM1,TF-Target,scGPT_emb500_filtered
HNRNPK,ENO1,TF-Target,scGPT_emb500_filtered
HNRNPK,CBX3,TF-Target,scGPT_emb500_filtered
HNRNPK,SRSF2,TF-Target,scGPT_emb500_filtered
HNRNPK,FUS,TF-Target,scGPT_emb500_filtered
HNRNPK,SAP18,TF-Target,scGPT_emb500_filtered
HNRNPK,CSDE1,TF-Target,scGPT_emb500_filtered
HNRNPK,RBBP4,TF-Target,scGPT_emb500_filtered
HNRNPK,HNRNPD,TF-Target,scGPT_emb500_filtered
HNRNPK,SFPQ,TF-Target,scGPT_emb500_filtered
HNRNPK,PA2G4,TF-Target,scGPT_emb500_filtered
HNRNPK,XRCC5,TF-Target,scGPT_emb500_filtered
HNRNPK,EWSR1,TF-Target,scGPT_emb500_filtered
HNRNPK,SNRPD1,TF-TF,scGPT_emb500_filtered
HNRNPK,DEK,TF-Target,scGPT_emb500_filtered
HNRNPK,SRSF10,TF-Target,scGPT_emb500_filtered
HNRNPK,PTMA,TF-Target,scGPT_emb500_filtered
HNRNPK,SOX4,TF-Target,scGPT_emb500_filtered
HNRNPK,BCLAF1,TF-Target,scGPT_emb500_filtered
HNRNPK,MIF,TF-Target,scGPT_emb500_filtered
HNRNPK,ATRX,TF-Target,scGPT_emb500_filtered
HNRNPK,FUBP1,TF-Target,scGPT_emb500_filtered
HNRNPK,HMGA1,TF-Target,scGPT_emb500_filtered
HNRNPK,ILF3,TF-Target,scGPT_emb500_filtered
HNRNPK,SF1,TF-Target,scGPT_emb500_filtered
HNRNPK,HNRNPAB,TF-Target,scGPT_emb500_filtered
HNRNPK,SUPT16H,TF-Target,scGPT_emb500_filtered
HNRNPK,EEF1A1,TF-Target,scGPT_emb500_filtered
HNRNPK,IFI16,TF-Target,scGPT_emb500_filtered
HNRNPK,TCEA1,TF-Target,scGPT_emb500_filtered
HNRNPK,SRSF1,TF-Target,scGPT_emb500_filtered
HNRNPK,STAT3,TF-Target,scGPT_emb500_filtered
HNRNPK,LEF1,TF-Target,scGPT_emb500_filtered
HNRNPK,VIM,TF-Target,scGPT_emb500_filtered
HNRNPK,POLR2G,TF-Target,scGPT_emb500_filtered
SNRPD1,HMGA1,TF-Target,scGPT_emb500_filtered
SNRPD1,PA2G4,TF-Target,scGPT_emb500_filtered
SNRPD1,DNMT1,TF-Target,scGPT_emb500_filtered
SNRPD1,SRSF3,TF-Target,scGPT_emb500_filtered
SNRPD1,MCM7,TF-Target,scGPT_emb500_filtered
SNRPD1,HNRNPAB,TF-Target,scGPT_emb500_filtered
SNRPD1,DEK,TF-Target,scGPT_emb500_filtered
SNRPD1,SAP18,TF-Target,scGPT_emb500_filtered
SNRPD1,NPM1,TF-Target,scGPT_emb500_filtered
SNRPD1,XRCC6,TF-Target,scGPT_emb500_filtered
SNRPD1,SRSF2,TF-Target,scGPT_emb500_filtered
SNRPD1,SUPT16H,TF-Target,scGPT_emb500_filtered
SNRPD1,POLR2H,TF-Target,scGPT_emb500_filtered
SNRPD1,POLR2K,TF-Target,scGPT_emb500_filtered
SNRPD1,ILF3,TF-Target,scGPT_emb500_filtered
SNRPD1,HNRNPD,TF-Target,scGPT_emb500_filtered
SNRPD1,MCM3,TF-Target,scGPT_emb500_filtered
SNRPD1,XRCC5,TF-Target,scGPT_emb500_filtered
SNRPD1,CBX3,TF-Target,scGPT_emb500_filtered
SNRPD1,RUVBL2,TF-Target,scGPT_emb500_filtered
SNRPD1,POLR2F,TF-Target,scGPT_emb500_filtered
SNRPD1,POLR2G,TF-Target,scGPT_emb500_filtered
SNRPD1,POLR2I,TF-Target,scGPT_emb500_filtered
SNRPD1,ENO1,TF-Target,scGPT_emb500_filtered
SNRPD1,SRSF10,TF-Target,scGPT_emb500_filtered
SNRPD1,SRSF1,TF-Target,scGPT_emb500_filtered
SNRPD1,UHRF1,TF-Target,scGPT_emb500_filtered
SNRPD1,RUVBL1,TF-Target,scGPT_emb500_filtered
SNRPD1,U2AF1,TF-Target,scGPT_emb500_filtered
SNRPD1,RBBP4,TF-Target,scGPT_emb500_filtered
SNRPD1,GINS2,TF-Target,scGPT_emb500_filtered
SNRPD1,NUSAP1,TF-Target,scGPT_emb500_filtered
SNRPD1,IFI16,TF-Target,scGPT_emb500_filtered
SNRPD1,FUS,TF-Target,scGPT_emb500_filtered
SNRPD1,CENPK,TF-Target,scGPT_emb500_filtered
SNRPD1,CNBP,TF-Target,scGPT_emb500_filtered
SNRPD1,TCEA1,TF-Target,scGPT_emb500_filtered
SNRPD1,RAD51AP1,TF-Target,scGPT_emb500_filtered
SNRPD1,ODC1,TF-Target,scGPT_emb500_filtered
SNRPD1,CDC20,TF-Target,scGPT_emb500_filtered
SNRPD1,EWSR1,TF-Target,scGPT_emb500_filtered
SNRPD1,MIF,TF-Target,scGPT_emb500_filtered
SNRPD1,CCNA2,TF-Target,scGPT_emb500_filtered
